customer_id,name,region,order_count,avg_order_value,total_revenue,revenue_per_order,active_days,projected_annual_value
664,Cody Bonilla,Middle East,7,2832.37,70809.33,10115.62,1016,25438.39
792,Elizabeth Mcpherson,Europe,5,3363.18,70626.86,14125.37,406,63494.59
193,Diana Rich,South America,5,4151.27,70571.56,14114.31,1387,18571.46
383,Annette Branch,South America,3,4127.46,70166.86,23388.95,371,69032.09
356,Jim Hendricks,Africa,5,3879.97,69839.46,13967.89,542,47032.11
381,Daniel Davis,Europe,5,2907.68,69784.22,13956.84,1126,22620.99
249,Shelby Lynch,Middle East,4,4102.78,69747.33,17436.83,681,37382.93
744,Elizabeth Austin,North America,4,5360.97,69692.64,17423.16,867,29340.04
92,Jorge Murphy,North America,3,4626.07,69391.02,23130.34,1257,20149.34
776,Alan Weeks,South America,4,3644.25,69240.71,17310.18,707,35746.62
630,Cynthia Marsh,North America,4,4579.7,68695.43,17173.86,956,26227.86
673,Derek Myers,Africa,5,2861.64,68679.39,13735.88,853,29388.02
761,Kim Griffin,Middle East,5,4035.86,68609.6,13721.92,1047,23918.34
468,Kristen Leon,Middle East,5,2846.7,68320.87,13664.17,1369,18215.57
66,Jonathan Fletcher,Middle East,5,3397.87,67957.32,13591.46,567,43746.78
86,Unknown Customer,Unknown,5,2817.72,67625.27,13525.05,888,27796.42
591,Roy Woods,Asia Pacific,8,2938.92,67595.11,8449.39,1360,18141.33
328,Ashley Rodriguez,North America,8,2703.06,67576.45,8447.06,1222,20184.46
210,David Jimenez,Middle East,5,3552.31,67493.93,13498.79,1180,20877.36
529,Lisa Carr,Asia Pacific,2,5607.39,67288.67,33644.33,440,55819.01
145,Molly Pollard,North America,5,3192.86,67050.11,13410.02,815,30028.58
513,Michael Stephens,Africa,4,3177.39,66725.29,16681.32,838,29062.92
759,Unknown Customer,Europe,4,3504.6,66587.49,16646.87,873,27840.13
200,Daniel Bruce,Europe,4,3665.85,65985.25,16496.31,640,37632.21
537,Eugene Jones,Asia Pacific,3,4708.68,65921.46,21973.82,619,38871.3
713,Nancy Wolfe,Asia Pacific,5,3638.34,65490.08,13098.02,981,24366.85
733,Catherine Lee,Africa,4,5027.22,65353.9,16338.48,1063,22440.43
376,Charles Meyers,Middle East,4,3259.05,65180.97,16295.24,1082,21988.04
590,Kristen Chan,Europe,6,4067.38,65078.05,10846.34,912,26045.49
264,Donna Parker,Africa,4,3221.14,64422.77,16105.69,686,34277.42
353,Christina Mayer,North America,4,2794.2,64266.57,16066.64,705,33272.76
128,Bill Reynolds,North America,5,4569.26,63969.57,12793.91,386,60489.36
289,John Aguirre,Asia Pacific,4,4514.66,63205.2,15801.3,518,44536.48
135,Robert Lopez,North America,4,3301.49,62728.3,15682.08,819,27955.84
377,Jesse Mann,South America,4,3442.89,61972.11,15493.03,440,51408.68
688,Kayla Lewis,Europe,4,4102.43,61536.49,15384.12,734,30600.57
626,Angela Smith,South America,4,3600.16,61202.71,15300.68,505,44235.62
582,Howard Davis✓,Unknown,3,4370.73,61190.15,20396.72,1006,22201.2
232,Sharon Collins,Asia Pacific,5,3213.78,61061.81,12212.36,678,32872.51
2,Erica Mcclain,South America,6,2653.63,61033.41,10172.24,1408,15821.87
365,Kathleen Ramsey,Asia Pacific,8,2441.12,61028.12,7628.52,1158,19235.98
311,Robert Gutierrez,Asia Pacific,4,4680.2,60842.64,15210.66,1054,21069.79
498,Kayla Rodriguez,South America,6,3372.74,60709.37,10118.23,743,29823.58
119,Angela Butler,North America,5,3169.36,60217.85,12043.57,677,32466.05
541,Philip Dunn,South America,4,4623.42,60104.44,15026.11,872,25158.4
474,Amanda Hernandez,Africa,4,3997.48,59962.27,14990.57,743,29456.57
665,Crystal Lewis,Africa,6,3301.36,59424.43,9904.07,1276,16998.37
3,Jeffery Wagner,Middle East,5,3942.49,59137.4,11827.48,1165,18528.03
740,Kaitlyn Peterson,Europe,5,3692.08,59073.32,11814.66,936,23036.07
716,Jonathan Smith,North America,4,4219.36,59071.07,14767.77,1268,17003.9
462,Nancy May,Africa,3,4524.85,58823.08,19607.69,355,60480.07
256,Matthew Day,Europe,4,4519.04,58747.55,14686.89,549,39058.03
120,Rebekah Evans,North America,4,3451.07,58668.19,14667.05,1089,19663.81
36,Andrea Williams,Middle East,4,3664.14,58626.31,14656.58,1206,17743.45
12,Gabrielle Cameron,Middle East,4,3443.83,58545.04,14636.26,650,32875.29
577,Mark Hill,South America,5,3244.18,58395.17,11679.03,1254,16997.0
330,Daniel Martin,Africa,6,2914.01,58280.25,9713.38,1208,17609.51
220,Bethany Maldonado,Asia Pacific,5,3234.7,58224.63,11644.93,1295,16410.8
600,Andrew Norris,Asia Pacific,5,3052.65,58000.33,11600.07,1408,15035.6
345,Julie Lane,Asia Pacific,3,3859.84,57897.67,19299.22,727,29068.29
366,Mason Krueger,Asia Pacific,4,3402.57,57843.66,14460.92,1026,20577.91
148,Wayne Lawrence,North America,6,3035.83,57680.8,9613.47,1142,18435.63
674,Erica Sloan,Middle East,4,3011.98,57227.66,14306.92,522,40015.51
162,Tiffany Barrett,Europe,6,3574.74,57195.83,9532.64,1114,18740.11
284,Meghan King,Middle East,7,3570.07,57121.13,8160.16,1162,17942.52
562,Corey Melton,South America,5,3775.74,56636.05,11327.21,1081,19123.18
488,Alan Gonzalez,Europe,3,5650.81,56508.12,18836.04,887,23253.06
648,John Mueller,Asia Pacific,4,2946.84,55989.87,13997.47,794,25738.42
526,Debra Thompson,South America,5,3102.95,55853.11,11170.62,748,27254.53
435,James Cruz,Asia Pacific,5,3094.53,55701.53,11140.31,924,22003.31
360,Heather Russell,North America,5,3976.61,55672.54,11134.51,1129,17998.65
512,Dawn Robles,South America,4,3269.05,55573.93,13893.48,264,76835.17
350,Allison Luna,Africa,2,4625.42,55504.99,27752.49,868,23340.23
424,Lauren Soto✓,South America,5,3446.21,55139.32,11027.86,1214,16578.13
178,Antonio Wood,Africa,5,3672.37,55085.48,11017.1,1099,18295.0
199,Michael Lane,South America,5,2748.11,54962.14,10992.43,1076,18644.22
69,Elizabeth Gray,Africa,6,2104.14,54707.6,9117.93,999,19988.26
208,Erika Watkins,Middle East,6,2376.81,54666.69,9111.11,1385,14406.75
189,Yolanda Boone,North America,5,3405.34,54485.42,10897.08,1058,18796.95
248,Christina Bullock,South America,6,3203.81,54464.83,9077.47,705,28198.1
241,Patrick Rose,Africa,4,4529.92,54359.08,13589.77,406,48869.62
570,Justin Hughes中,North America,5,3392.34,54277.5,10855.5,455,43541.29
77,Nicole Osborne,Africa,5,3855.65,53979.17,10795.83,1060,18587.17
405,Meagan James,North America,4,3371.93,53950.81,13487.7,1151,17108.64
621,Patricia Salazar,North America,6,3591.6,53874.06,8979.01,855,22998.87
631,Travis Underwood,Middle East,4,3360.03,53760.53,13440.13,1087,18052.06
453,Ashlee Washington,Middle East,3,3158.28,53690.75,17896.92,960,20413.67
251,Candice Smith,Middle East,4,3830.64,53629.02,13407.25,1155,16947.7
769,Diana Mcclure,South America,4,4091.91,53194.85,13298.71,1063,18265.4
102,Daniel Yu,South America,3,4420.6,53047.2,17682.4,857,22593.03
412,Kristina Jones,Africa,3,3785.85,53001.94,17667.31,1007,19211.23
415,Elizabeth Jackson,Asia Pacific,2,4406.46,52877.49,26438.74,958,20146.43
499,David Howard,Asia Pacific,5,2924.77,52645.8,10529.16,1393,13794.48
413,William Knapp,Africa,4,4338.71,52064.53,13016.13,1102,17244.6
96,Thomas Wilson,Asia Pacific,4,2599.95,51999.02,12999.75,1048,18110.35
576,Justin Cohen,Europe,2,4723.72,51960.91,25980.46,179,105953.81
483,John Ruiz,Africa,4,4296.49,51557.87,12889.47,1195,15747.8
191,Cynthia Kelley,Asia Pacific,6,2450.0,51450.04,8575.01,1014,18519.98
261,Pamela Paul,Asia Pacific,5,3018.84,51320.31,10264.06,1044,17942.45
758,Michael Castro,Africa,6,2438.23,51202.82,8533.8,1047,17850.08
701,Robert Rivera,South America,4,3195.88,51134.06,12783.51,928,20112.0
260,Michael Norman,Middle East,6,4256.35,51076.21,8512.7,1153,16168.97
465,Karen Lawrence,South America,4,2999.24,50987.04,12746.76,1160,16043.34
296,William Levy,Europe,4,4223.82,50685.84,12671.46,821,22533.9
485,Robert Cortez,Europe,3,3167.37,50677.98,16892.66,716,25834.45
494,Unknown Customer,Asia Pacific,4,3164.26,50628.24,12657.06,939,19679.77
8,Barbara Bush,Middle East,6,2959.17,50305.93,8384.32,1168,15720.6
579,Donald Johnson,Middle East,7,3106.87,49709.97,7101.42,1356,13380.63
303,Benjamin Reeves,Middle East,4,3309.25,49638.77,12409.69,678,26722.94
292,Daniel Allen,North America,5,2477.71,49554.23,9910.85,1361,13289.71
772,Sarah Dunn,Europe,5,4115.2,49382.41,9876.48,895,20139.2
88,Amy Morrison,Europe,3,4110.24,49322.83,16440.94,242,74391.87
549,Michelle Wells,Middle East,2,4092.17,49106.02,24553.01,328,54645.42
765,Kimberly Mcmillan,Asia Pacific,5,3266.16,48992.4,9798.48,1419,12601.99
57,Michael Castro,Middle East,7,3264.73,48970.9,6995.84,1234,14484.91
622,Tyler Martin,North America,4,3049.96,48799.34,12199.83,681,26155.3
597,Lisa Smith,Africa,3,4435.25,48787.78,16262.59,1110,16042.83
749,Alexander Clark,South America,5,2421.48,48429.54,9685.91,580,30477.21
85,Steven Brown,Africa,4,4023.02,48276.25,12069.06,601,29319.19
259,Veronica Daniels,Africa,3,3013.24,48211.9,16070.63,641,27452.95
645,Dustin Santiago,North America,3,3987.32,47847.87,15949.29,833,20965.75
247,Justin Gallegos,North America,5,3187.94,47819.11,9563.82,578,30197.19
528,Jacqueline Berry,North America,4,3980.91,47770.92,11942.73,1371,12718.01
598,William Martinez,Europe,3,2809.5,47761.44,15920.48,662,26333.72
705,Dana Johns,Middle East,6,2982.4,47718.36,7953.06,1421,12257.0
469,Victor Wheeler,Europe,3,3177.75,47666.19,15888.73,228,76307.72
518,Joel Stewart,Unknown,4,2802.8,47647.6,11911.9,684,25425.99
252,Aaron Gomez,South America,4,2970.97,47535.48,11883.87,1128,15381.6
501,Jason Gates,Middle East,4,3156.73,47350.94,11837.74,860,20096.62
126,Charles Martin,Middle East,3,2784.88,47343.01,15781.0,95,181896.83
27,Emily Brooks,Europe,6,2626.98,47285.68,7880.95,839,20571.24
230,Melissa Brandt,South America,4,2780.57,47269.77,11817.44,740,23315.49
132,Mia Rivera,Africa,4,4717.28,47172.83,11793.21,634,27157.86
506,Lisa Johnson,North America,2,4274.0,47013.98,23506.99,575,29843.66
362,Anna Faulkner,North America,2,4256.84,46825.25,23412.63,428,39932.75
157,Monica Harvey,Middle East,4,3084.81,46272.15,11568.04,755,22369.98
613,Mary Vaughn,Africa,4,3558.1,46255.26,11563.82,614,27497.02
4,Robert Cole,Europe,3,4196.86,46165.42,15388.47,151,111591.91
548,Jeremy Brown,Middle East,4,3539.62,46015.0,11503.75,1113,15090.27
525,Kevin Taylor,South America,4,3284.62,45984.71,11496.18,839,20005.27
493,Robert Woodward,Europe,3,4582.62,45826.24,15275.41,810,20650.1
1,Danielle Johnson,South America,5,2403.44,45665.29,9133.06,1194,13959.66
314,Steve Patel,Middle East,4,2837.3,45396.8,11349.2,875,18936.95
101,Mitchell Hunterğ,South America,3,3771.98,45263.81,15087.94,882,18731.62
398,Curtis Miller,North America,4,2505.14,45092.56,11273.14,670,24565.35
686,Juan Serrano,Africa,4,3220.73,45090.28,11272.57,1036,15886.05
253,Christopher Villegas,Africa,3,4498.75,44987.49,14995.83,273,60148.11
16,William Davis,Europe,3,3450.42,44855.42,14951.81,533,30717.13
492,Diane Sweeney,Middle East,3,3736.79,44841.45,14947.15,699,23415.06
658,Christopher Walker,Asia Pacific,4,2794.18,44706.8,11176.7,1077,15151.33
539,Brian Rivera,Asia Pacific,4,2624.96,44624.24,11156.06,938,17364.44
217,William Bullock,Asia Pacific,4,3174.04,44436.61,11109.15,941,17236.3
7,Unknown Customer,Asia Pacific,4,3418.09,44435.12,11108.78,618,26244.04
218,Curtis Scott,Africa,2,5547.75,44382.01,22191.01,199,81404.19
458,Cody Lewis,Middle East,3,4428.07,44280.72,14760.24,1156,13981.37
601,Johnny Miles,North America,2,4414.78,44147.76,22073.88,23,700605.76
439,Ashley Adams,Asia Pacific,5,2942.91,44143.71,8828.74,1050,15345.19
373,Ashley Sanchez,Africa,4,2595.48,44123.2,11030.8,402,40062.11
123,Hannah Harrison,Europe,3,3389.38,44061.93,14687.31,477,33716.15
679,Kelly Jones,Europe,3,2748.47,43975.53,14658.51,879,18260.6
192,Kenneth Wagner,Middle East,3,4359.15,43591.46,14530.49,648,24553.83
374,Steven Oconnor,South America,3,3626.08,43512.99,14504.33,1326,11977.56
401,Rachel Stein,North America,4,2548.03,43316.58,10829.15,1175,13455.79
332,Penny Wilcoxñ,South America,4,2704.97,43279.59,10819.9,303,52135.48
521,Jesse Robinson,Europe,5,2401.25,43222.57,8644.51,1077,14648.32
418,Kelsey Chapman,Asia Pacific,4,4801.84,43216.59,10804.15,765,20619.68
783,Edwin Booker,South America,2,3926.09,43186.97,21593.49,569,27703.42
682,Elijah Knight,Africa,3,4784.16,43057.44,14352.48,832,18889.38
603,William Williamson,Asia Pacific,3,3913.89,43052.83,14350.94,941,16699.56
410,Jeanette Gonzales,North America,4,3073.72,43032.04,10758.01,885,17747.68
46,Anna Garcia,Europe,2,3904.93,42954.2,21477.1,566,27700.15
779,Maria Walker,Africa,4,2859.06,42885.87,10721.47,738,21210.49
158,Jesse Little,Middle East,6,2669.12,42705.86,7117.64,688,22656.45
500,Melissa Davis,South America,4,2367.62,42617.24,10654.31,889,17497.52
461,Lawrence Ibarra,North America,5,2836.69,42550.34,8510.07,1115,13929.04
634,Mary Chapman,Africa,2,3865.78,42523.57,21261.78,1223,12691.01
644,Justin Boone,Middle East,3,3266.49,42464.36,14154.79,1157,13396.28
496,Joel Green,Middle East,5,2492.52,42372.9,8474.58,1193,12964.05
23,Daniel Cox,Africa,7,1840.95,42341.86,6048.84,1267,12197.93
690,Mercedes Anderson,North America,3,4697.56,42278.0,14092.67,857,18006.38
551,Gerald Joyce,Middle East,3,3246.1,42199.35,14066.45,1056,14585.95
456,Nancy Mcdowell,Africa,3,3235.82,42065.66,14021.89,705,21778.68
770,Courtney Anderson,Europe,4,2783.66,41754.94,10438.74,561,27166.76
308,Diana Stanton,South America,3,3474.81,41697.76,13899.25,849,17926.6
594,Wesley Torres,Asia Pacific,4,3466.33,41595.97,10398.99,658,23073.75
406,Derek Flores,Africa,3,2957.77,41408.8,13802.93,296,51061.53
55,Brandi Hernandez,Middle East,3,3762.69,41389.59,13796.53,295,51210.85
258,Bradley Gonzalez,Asia Pacific,3,3180.27,41343.55,13781.18,261,57817.61
48,Jade Carr,Africa,3,3756.29,41319.18,13773.06,721,20917.48
791,David Olson,Asia Pacific,2,3442.05,41304.61,20652.31,523,28826.35
624,Christian Wallace,South America,3,3171.83,41233.73,13744.58,543,27716.96
41,Breanna Shaw,Europe,4,2745.65,41184.75,10296.19,706,21292.4
399,Ricky Johnson,South America,5,4115.72,41157.15,8231.43,871,17247.26
610,Melissa Zamora,Middle East,3,3407.63,40891.5,13630.5,1066,14001.31
336,Erik Parks,Europe,4,2554.01,40864.24,10216.06,1220,12225.78
531,Lorraine Santiago,Asia Pacific,3,3385.41,40624.96,13541.65,872,17004.71
455,Susan Harris,Europe,6,2896.22,40547.15,6757.86,1452,10192.64
568,William Reid,Middle East,2,3677.76,40455.32,20227.66,848,17412.96
186,Joseph Martinez,North America,3,3656.26,40218.81,13406.27,995,14753.63
349,Nancy Anderson,South America,3,4457.68,40119.12,13373.04,278,52674.38
734,Gregory Hunter,Europe,5,2673.74,40106.17,8021.23,1033,14171.11
728,Melissa Galvan,South America,4,2502.7,40043.14,10010.78,687,21274.74
798,Andrew Gray,Africa,2,3999.02,39990.22,19995.11,601,24286.91
316,Janet Vaughn,Asia Pacific,3,2844.17,39818.32,13272.77,462,31458.2
508,Gary Berry,Europe,3,3057.7,39750.04,13250.01,859,16890.3
502,Randy Williams,Asia Pacific,2,3609.92,39709.08,19854.54,414,35009.21
793,Laura Richards,Europe,4,2829.38,39611.32,9902.83,1262,11456.52
569,Sean Horne,North America,4,3297.84,39574.13,9893.53,851,16973.63
642,William Benson,Africa,3,4930.75,39446.03,13148.68,319,45134.17
515,Unknown Customer,North America,4,2627.24,39408.64,9852.16,460,31269.9
421,Connor Bowen,Asia Pacific,5,2811.33,39358.58,7871.72,976,14719.14
287,Brandon May,Middle East,3,3924.83,39248.29,13082.76,867,16523.21
174,Cynthia Marshall,North America,3,3916.89,39168.86,13056.29,1181,12105.53
131,Lisa Costa,Africa,3,4887.09,39096.74,13032.25,639,22332.25
714,Kayla Bell,Asia Pacific,2,4871.53,38972.28,19486.14,223,63788.71
689,Desiree Hernandez,Middle East,4,4854.35,38834.82,9708.7,774,18313.58
117,Shelley Woods,Europe,6,2767.61,38746.55,6457.76,1012,13974.79
727,Sonya Wilkins,Africa,3,3513.28,38646.06,12882.02,1119,12605.73
423,Zachary Arnold,Africa,3,2970.42,38615.52,12871.84,301,46826.13
709,Jerry Cruz,North America,3,3508.47,38593.15,12864.38,897,15704.01
20,Shawn Mckay,North America,3,3851.97,38519.7,12839.9,446,31523.97
651,Janet Holland,North America,4,2559.65,38394.68,9598.67,1139,12303.83
625,Sergio Wilson,Middle East,5,2126.06,38269.04,7653.81,1195,11688.87
532,John Jones,Africa,4,2913.12,37870.58,9467.65,817,16918.92
436,Robert Larsen,Europe,4,3151.25,37815.05,9453.76,537,25702.97
51,Cynthia Baker,Unknown,4,2094.95,37709.06,9427.26,1172,11743.86
782,Unknown Customer,South America,3,2684.55,37583.72,12527.91,825,16627.95
547,Colin Barnett,Middle East,6,2887.86,37542.24,6257.04,998,13730.38
98,Larry Lane,Africa,3,4167.46,37507.17,12502.39,85,161060.2
484,Austin Pratt,Europe,4,2335.69,37371.09,9342.77,1013,13465.4
149,Alicia Bryant,North America,2,3397.37,37371.04,18685.52,462,29524.74
636,Savannah Roberson,North America,3,3114.06,37368.71,12456.24,499,27333.83
656,Megan Turner,Europe,5,2196.37,37338.22,7467.64,696,19581.11
684,Dennis Quinn😀,Africa,3,3724.86,37248.62,12416.21,943,14417.55
647,Michael Chavez,North America,3,4134.33,37208.99,12403.0,911,14908.1
425,Christina Gonzalez,North America,6,1855.41,37108.17,6184.69,1321,10253.2
354,Brittney Griffin,Europe,3,5274.9,36924.28,12308.09,759,17756.74
667,Julie Hernandez,Europe,4,2837.01,36881.07,9220.27,1002,13434.72
143,Mary Carpenter,South America,2,3346.31,36809.41,18404.71,367,36608.81
104,Steven Petersen,North America,3,4578.85,36630.79,12210.26,1003,13330.25
661,Manuel Moon,North America,4,2034.77,36625.81,9156.45,740,18065.43
729,Zachary Hall,Middle East,3,4069.5,36625.49,12208.5,331,40387.62
347,Justin White,South America,4,2611.7,36563.86,9140.97,776,17198.21
367,David Key,South America,2,5215.21,36506.47,18253.24,85,156763.08
65,Jessica Edwards,North America,3,3282.32,36105.54,12035.18,910,14481.89
81,Michelle Coleğ,Asia Pacific,5,3606.8,36067.99,7213.6,944,13945.78
393,Stephanie Sanders,Africa,5,2568.46,35958.48,7191.7,911,14407.07
719,Joshua Becker,Asia Pacific,2,3558.51,35585.09,17792.54,22,590388.99
627,Diamond Bryant,North America,3,3234.45,35578.9,11859.63,300,43287.66
25,David Keller,Middle East,3,4432.45,35459.57,11819.86,435,29753.43
116,Audrey Harrison,Africa,3,4427.92,35423.35,11807.78,1015,12738.45
221,Unknown Customer,Africa,3,5053.35,35373.46,11791.15,859,15030.63
176,Derek Chavez,South America,4,3916.17,35245.53,8811.38,1413,9104.47
163,Julie Williams,Middle East,3,4378.38,35027.0,11675.67,1064,12015.84
794,Kristen Alvarez,Middle East,2,4378.02,35024.17,17512.08,69,185272.78
70,Amy Smith,Middle East,2,4356.24,34849.91,17424.96,442,28778.77
395,Donna Miller,North America,4,3165.68,34822.52,8705.63,425,29906.4
226,Lisa Monroe,Middle East,3,2662.18,34608.29,11536.1,954,13241.12
571,Erica Adams,South America,4,2468.94,34565.16,8641.29,1118,11284.69
595,Jessica Carlson,South America,2,3134.18,34475.97,17237.99,136,92527.42
19,Nicole Potter,Africa,3,3443.79,34437.87,11479.29,674,18649.59
678,Melissa York,Europe,3,3438.71,34387.11,11462.37,726,17288.29
697,Rachel Miller,Middle East,3,3427.71,34277.06,11425.69,1171,10684.14
411,Robert Porter,South America,3,4893.56,34254.95,11418.32,568,22012.42
669,Shannon Sullivan,Africa,4,3803.79,34234.15,8558.54,579,21581.11
352,Steven Moore,Europe,3,4275.92,34207.39,11402.46,99,126118.16
246,Jeffrey Flores,Africa,4,2136.62,34185.97,8546.49,1216,10261.41
731,Richard Gonzalez,Europe,4,2438.81,34143.31,8535.83,932,13371.58
310,John Armstrong,Asia Pacific,4,2132.89,34126.19,8531.55,893,13948.55
533,Samuel Barnes,South America,2,4247.19,33977.49,16988.74,463,26785.71
358,Angela Vargas,Asia Pacific,3,2829.05,33948.61,11316.2,777,15947.55
138,Alexander Russell,North America,2,2828.05,33936.65,16968.33,734,16875.85
242,John Davidson,Asia Pacific,3,2422.39,33913.43,11304.48,389,31821.08
130,April Ramos,South America,3,3389.43,33894.33,11298.11,787,15719.73
312,Samantha Salas,Africa,4,2259.09,33886.32,8471.58,983,12582.41
42,Melissa Jones,Europe,3,2821.9,33862.83,11287.61,867,14255.98
222,Michael Jones,Africa,4,2815.34,33784.06,8446.01,832,14821.13
112,David Herrera,Africa,3,2250.99,33764.87,11254.96,921,13381.3
635,Stephanie Taylor,Asia Pacific,2,5605.03,33630.19,16815.1,178,68960.78
777,Russell Carter,Asia Pacific,4,1862.84,33531.08,8382.77,1158,10568.95
313,Ann Bolton,Middle East,3,2572.91,33447.79,11149.26,760,16063.74
183,Jesse Schroeder,Middle East,2,4152.64,33221.12,16610.56,379,31993.95
650,Julia Harris,North America,3,2372.7,33217.74,11072.58,393,30851.08
379,Adam Arnold,Africa,4,3690.19,33211.69,8302.92,500,24244.53
732,Jessica Hansen,South America,2,3689.34,33204.04,16602.02,131,92515.07
708,Gary Jennings,Middle East,2,3680.5,33124.46,16562.23,486,24877.42
47,Michael Jones,Africa,3,3669.86,33028.76,11009.59,370,32582.43
283,Fernando Donovan,Asia Pacific,4,4713.64,32995.51,8248.88,1117,10781.88
482,Emily Wilson,South America,2,3665.1,32985.92,16492.96,735,16380.76
657,Jeffrey White,Europe,3,2744.99,32939.92,10979.97,1303,9227.22
542,Christopher Colon,South America,3,2994.35,32937.84,10979.28,728,16514.16
39,Kristen Mitchell,Europe,2,3287.68,32876.82,16438.41,942,12738.9
315,Todd Bernard,Africa,1,5465.32,32791.92,32791.92,0,
419,Dan Perry,South America,3,4091.03,32728.23,10909.41,700,17065.43
530,Julie Young,South America,2,3626.41,32637.69,16318.84,134,88901.17
702,Jason Martin,Unknown,4,2717.31,32607.7,8151.93,1073,11092.09
615,Dale Pruitt,Africa,4,2508.05,32604.59,8151.15,820,14513.02
129,Brenda Smith,Europe,3,3620.85,32587.61,10862.54,1218,9765.58
666,Amanda Park,Africa,2,3619.89,32579.05,16289.52,724,16424.52
475,Amanda Myers,North America,3,2712.67,32552.05,10850.68,900,13201.66
43,Ashley Riley,Europe,3,3610.57,32495.15,10831.72,433,27391.99
781,Robert Castaneda,North America,4,1910.82,32483.98,8120.99,1156,10256.62
555,Alexandra Barnes,Middle East,3,2693.64,32323.7,10774.57,805,14656.09
75,Charles Perry,Asia Pacific,3,2459.1,31968.29,10656.1,630,18521.31
384,Clayton Gray,Africa,2,4565.79,31960.5,15980.25,837,13937.37
29,Jean Brown,South America,2,3531.28,31781.51,15890.75,460,25217.94
35,Joshua Wright,Africa,3,3529.65,31766.84,10588.95,670,17305.82
72,Susan Fitzgerald,Asia Pacific,3,2874.12,31615.29,10538.43,470,24552.3
215,Ryan Morales,Europe,3,3951.66,31613.28,10537.76,408,28281.49
449,Nicole Davis,Middle East,3,2632.41,31588.96,10529.65,957,12048.04
503,Stephanie Bond,Middle East,3,3157.88,31578.78,10526.26,960,12006.52
463,Chelsey Martin,North America,3,4499.23,31494.62,10498.21,305,37690.28
554,Mark Hill,Europe,3,2622.84,31474.13,10491.38,340,33788.4
788,Theresa Espinoza,Europe,3,3933.29,31466.32,10488.77,490,23439.2
84,Heather Mccarthy,Asia Pacific,3,3132.97,31329.68,10443.23,452,25299.41
546,Steven Perez,North America,4,2846.96,31316.57,7829.14,765,14941.89
278,Angela Wood,North America,3,3478.51,31306.56,10435.52,594,19237.2
400,Michelle Smith,South America,3,3471.16,31240.45,10413.48,956,11927.58
209,Brian Harris,Asia Pacific,4,2602.75,31233.03,7808.26,525,21714.39
560,Hannah Williams,Asia Pacific,3,2833.33,31166.66,10388.89,988,11514.0
382,Lisa Adams,Europe,3,3112.94,31129.39,10376.46,1212,9374.78
