customer_id,name,total_spend,cum_distribution
688,Kayla Lewis,61536.49,0.0978
626,Angela Smith,61202.71,0.0992
582,Howard Davis✓,61190.15,0.1006
232,Sharon Collins,61061.81,0.1019
2,Erica Mcclain,61033.41,0.1033
365,Kathleen Ramsey,61028.12,0.1047
311,Robert Gutierrez,60842.64,0.1061
498,Kayla Rodriguez,60709.37,0.1074
119,Angela Butler,60217.85,0.1088
541,Philip Dunn,60104.44,0.1102
474,Amanda Hernandez,59962.27,0.1116
665,Crystal Lewis,59424.43,0.1129
3,Jeffery Wagner,59137.4,0.1143
740,Kaitlyn Peterson,59073.32,0.1157
716,Jonathan Smith,59071.07,0.1171
462,Nancy May,58823.08,0.1185
256,Matthew Day,58747.55,0.1198
120,Rebekah Evans,58668.19,0.1212
36,Andrea Williams,58626.31,0.1226
12,Gabrielle Cameron,58545.04,0.124
577,Mark Hill,58395.17,0.1253
330,Daniel Martin,58280.25,0.1267
220,Bethany Maldonado,58224.63,0.1281
600,Andrew Norris,58000.33,0.1295
345,Julie Lane,57897.67,0.1309
366,Mason Krueger,57843.66,0.1322
148,Wayne Lawrence,57680.8,0.1336
674,Erica Sloan,57227.66,0.135
162,Tiffany Barrett,57195.83,0.1364
284,Meghan King,57121.13,0.1377
562,Corey Melton,56636.05,0.1391
488,Alan Gonzalez,56508.12,0.1405
648,John Mueller,55989.87,0.1419
526,Debra Thompson,55853.11,0.1433
435,James Cruz,55701.53,0.1446
360,Heather Russell,55672.54,0.146
512,Dawn Robles,55573.93,0.1474
350,Allison Luna,55504.99,0.1488
424,Lauren Soto✓,55139.32,0.1501
178,Antonio Wood,55085.48,0.1515
199,Michael Lane,54962.14,0.1529
69,Elizabeth Gray,54707.6,0.1543
208,Erika Watkins,54666.69,0.1556
189,Yolanda Boone,54485.42,0.157
248,Christina Bullock,54464.83,0.1584
241,Patrick Rose,54359.08,0.1598
570,Justin Hughes中,54277.5,0.1612
77,Nicole Osborne,53979.17,0.1625
405,Meagan James,53950.81,0.1639
621,Patricia Salazar,53874.06,0.1653
631,Travis Underwood,53760.53,0.1667
453,Ashlee Washington,53690.75,0.168
251,Candice Smith,53629.02,0.1694
769,Diana Mcclure,53194.85,0.1708
102,Daniel Yu,53047.2,0.1722
412,Kristina Jones,53001.94,0.1736
415,Elizabeth Jackson,52877.49,0.1749
499,David Howard,52645.8,0.1763
413,William Knapp,52064.53,0.1777
96,Thomas Wilson,51999.02,0.1791
576,Justin Cohen,51960.91,0.1804
483,John Ruiz,51557.87,0.1818
191,Cynthia Kelley,51450.04,0.1832
261,Pamela Paul,51320.31,0.1846
758,Michael Castro,51202.82,0.186
701,Robert Rivera,51134.06,0.1873
260,Michael Norman,51076.21,0.1887
465,Karen Lawrence,50987.04,0.1901
296,William Levy,50685.84,0.1915
485,Robert Cortez,50677.98,0.1928
494,Unknown Customer,50628.24,0.1942
8,Barbara Bush,50305.93,0.1956
579,Donald Johnson,49709.97,0.197
303,Benjamin Reeves,49638.77,0.1983
292,Daniel Allen,49554.23,0.1997
772,Sarah Dunn,49382.41,0.2011
88,Amy Morrison,49322.83,0.2025
549,Michelle Wells,49106.02,0.2039
765,Kimberly Mcmillan,48992.4,0.2052
57,Michael Castro,48970.9,0.2066
622,Tyler Martin,48799.34,0.208
597,Lisa Smith,48787.78,0.2094
749,Alexander Clark,48429.54,0.2107
85,Steven Brown,48276.25,0.2121
259,Veronica Daniels,48211.9,0.2135
645,Dustin Santiago,47847.87,0.2149
247,Justin Gallegos,47819.11,0.2163
528,Jacqueline Berry,47770.92,0.2176
598,William Martinez,47761.44,0.219
705,Dana Johns,47718.36,0.2204
469,Victor Wheeler,47666.19,0.2218
518,Joel Stewart,47647.6,0.2231
252,Aaron Gomez,47535.48,0.2245
501,Jason Gates,47350.94,0.2259
126,Charles Martin,47343.01,0.2273
27,Emily Brooks,47285.68,0.2287
230,Melissa Brandt,47269.77,0.23
132,Mia Rivera,47172.83,0.2314
506,Lisa Johnson,47013.98,0.2328
362,Anna Faulkner,46825.25,0.2342
157,Monica Harvey,46272.15,0.2355
613,Mary Vaughn,46255.26,0.2369
4,Robert Cole,46165.42,0.2383
548,Jeremy Brown,46015.0,0.2397
525,Kevin Taylor,45984.71,0.241
493,Robert Woodward,45826.24,0.2424
1,Danielle Johnson,45665.29,0.2438
314,Steve Patel,45396.8,0.2452
101,Mitchell Hunterğ,45263.81,0.2466
398,Curtis Miller,45092.56,0.2479
686,Juan Serrano,45090.28,0.2493
253,Christopher Villegas,44987.49,0.2507
16,William Davis,44855.42,0.2521
492,Diane Sweeney,44841.45,0.2534
658,Christopher Walker,44706.8,0.2548
539,Brian Rivera,44624.24,0.2562
217,William Bullock,44436.61,0.2576
7,Unknown Customer,44435.12,0.259
218,Curtis Scott,44382.01,0.2603
458,Cody Lewis,44280.72,0.2617
601,Johnny Miles,44147.76,0.2631
439,Ashley Adams,44143.71,0.2645
373,Ashley Sanchez,44123.2,0.2658
123,Hannah Harrison,44061.93,0.2672
679,Kelly Jones,43975.53,0.2686
192,Kenneth Wagner,43591.46,0.27
374,Steven Oconnor,43512.99,0.2713
401,Rachel Stein,43316.58,0.2727
332,Penny Wilcoxñ,43279.59,0.2741
521,Jesse Robinson,43222.57,0.2755
418,Kelsey Chapman,43216.59,0.2769
783,Edwin Booker,43186.97,0.2782
682,Elijah Knight,43057.44,0.2796
603,William Williamson,43052.83,0.281
410,Jeanette Gonzales,43032.04,0.2824
46,Anna Garcia,42954.2,0.2837
779,Maria Walker,42885.87,0.2851
158,Jesse Little,42705.86,0.2865
500,Melissa Davis,42617.24,0.2879
461,Lawrence Ibarra,42550.34,0.2893
634,Mary Chapman,42523.57,0.2906
644,Justin Boone,42464.36,0.292
496,Joel Green,42372.9,0.2934
23,Daniel Cox,42341.86,0.2948
690,Mercedes Anderson,42278.0,0.2961
551,Gerald Joyce,42199.35,0.2975
456,Nancy Mcdowell,42065.66,0.2989
770,Courtney Anderson,41754.94,0.3003
308,Diana Stanton,41697.76,0.3017
594,Wesley Torres,41595.97,0.303
406,Derek Flores,41408.8,0.3044
55,Brandi Hernandez,41389.59,0.3058
258,Bradley Gonzalez,41343.55,0.3072
48,Jade Carr,41319.18,0.3085
791,David Olson,41304.61,0.3099
624,Christian Wallace,41233.73,0.3113
41,Breanna Shaw,41184.75,0.3127
399,Ricky Johnson,41157.15,0.314
610,Melissa Zamora,40891.5,0.3154
336,Erik Parks,40864.24,0.3168
531,Lorraine Santiago,40624.96,0.3182
455,Susan Harris,40547.15,0.3196
568,William Reid,40455.32,0.3209
186,Joseph Martinez,40218.81,0.3223
349,Nancy Anderson,40119.12,0.3237
734,Gregory Hunter,40106.17,0.3251
728,Melissa Galvan,40043.14,0.3264
798,Andrew Gray,39990.22,0.3278
316,Janet Vaughn,39818.32,0.3292
508,Gary Berry,39750.04,0.3306
502,Randy Williams,39709.08,0.332
793,Laura Richards,39611.32,0.3333
569,Sean Horne,39574.13,0.3347
642,William Benson,39446.03,0.3361
515,Unknown Customer,39408.64,0.3375
421,Connor Bowen,39358.58,0.3388
287,Brandon May,39248.29,0.3402
174,Cynthia Marshall,39168.86,0.3416
131,Lisa Costa,39096.74,0.343
714,Kayla Bell,38972.28,0.3444
689,Desiree Hernandez,38834.82,0.3457
117,Shelley Woods,38746.55,0.3471
727,Sonya Wilkins,38646.06,0.3485
423,Zachary Arnold,38615.52,0.3499
709,Jerry Cruz,38593.15,0.3512
20,Shawn Mckay,38519.7,0.3526
651,Janet Holland,38394.68,0.354
625,Sergio Wilson,38269.04,0.3554
532,John Jones,37870.58,0.3567
436,Robert Larsen,37815.05,0.3581
51,Cynthia Baker,37709.06,0.3595
782,Unknown Customer,37583.72,0.3609
547,Colin Barnett,37542.24,0.3623
98,Larry Lane,37507.17,0.3636
484,Austin Pratt,37371.09,0.365
149,Alicia Bryant,37371.04,0.3664
636,Savannah Roberson,37368.71,0.3678
656,Megan Turner,37338.22,0.3691
684,Dennis Quinn😀,37248.62,0.3705
647,Michael Chavez,37208.99,0.3719
425,Christina Gonzalez,37108.17,0.3733
354,Brittney Griffin,36924.28,0.3747
667,Julie Hernandez,36881.07,0.376
143,Mary Carpenter,36809.41,0.3774
104,Steven Petersen,36630.79,0.3788
661,Manuel Moon,36625.81,0.3802
729,Zachary Hall,36625.49,0.3815
347,Justin White,36563.86,0.3829
367,David Key,36506.47,0.3843
65,Jessica Edwards,36105.54,0.3857
81,Michelle Coleğ,36067.99,0.3871
393,Stephanie Sanders,35958.48,0.3884
719,Joshua Becker,35585.09,0.3898
627,Diamond Bryant,35578.9,0.3912
25,David Keller,35459.57,0.3926
116,Audrey Harrison,35423.35,0.3939
221,Unknown Customer,35373.46,0.3953
176,Derek Chavez,35245.53,0.3967
163,Julie Williams,35027.0,0.3981
794,Kristen Alvarez,35024.17,0.3994
70,Amy Smith,34849.91,0.4008
395,Donna Miller,34822.52,0.4022
226,Lisa Monroe,34608.29,0.4036
571,Erica Adams,34565.16,0.405
595,Jessica Carlson,34475.97,0.4063
19,Nicole Potter,34437.87,0.4077
678,Melissa York,34387.11,0.4091
697,Rachel Miller,34277.06,0.4105
411,Robert Porter,34254.95,0.4118
669,Shannon Sullivan,34234.15,0.4132
352,Steven Moore,34207.39,0.4146
246,Jeffrey Flores,34185.97,0.416
731,Richard Gonzalez,34143.31,0.4174
310,John Armstrong,34126.19,0.4187
533,Samuel Barnes,33977.49,0.4201
358,Angela Vargas,33948.61,0.4215
138,Alexander Russell,33936.65,0.4229
242,John Davidson,33913.43,0.4242
130,April Ramos,33894.33,0.4256
312,Samantha Salas,33886.32,0.427
42,Melissa Jones,33862.83,0.4284
222,Michael Jones,33784.06,0.4298
112,David Herrera,33764.87,0.4311
635,Stephanie Taylor,33630.19,0.4325
777,Russell Carter,33531.08,0.4339
313,Ann Bolton,33447.79,0.4353
183,Jesse Schroeder,33221.12,0.4366
650,Julia Harris,33217.74,0.438
379,Adam Arnold,33211.69,0.4394
732,Jessica Hansen,33204.04,0.4408
708,Gary Jennings,33124.46,0.4421
47,Michael Jones,33028.76,0.4435
283,Fernando Donovan,32995.51,0.4449
482,Emily Wilson,32985.92,0.4463
657,Jeffrey White,32939.92,0.4477
542,Christopher Colon,32937.84,0.449
39,Kristen Mitchell,32876.82,0.4504
315,Todd Bernard,32791.92,0.4518
419,Dan Perry,32728.23,0.4532
530,Julie Young,32637.69,0.4545
702,Jason Martin,32607.7,0.4559
615,Dale Pruitt,32604.59,0.4573
129,Brenda Smith,32587.61,0.4587
666,Amanda Park,32579.05,0.4601
475,Amanda Myers,32552.05,0.4614
43,Ashley Riley,32495.15,0.4628
781,Robert Castaneda,32483.98,0.4642
555,Alexandra Barnes,32323.7,0.4656
75,Charles Perry,31968.29,0.4669
384,Clayton Gray,31960.5,0.4683
29,Jean Brown,31781.51,0.4697
35,Joshua Wright,31766.84,0.4711
72,Susan Fitzgerald,31615.29,0.4725
215,Ryan Morales,31613.28,0.4738
449,Nicole Davis,31588.96,0.4752
503,Stephanie Bond,31578.78,0.4766
463,Chelsey Martin,31494.62,0.478
554,Mark Hill,31474.13,0.4793
788,Theresa Espinoza,31466.32,0.4807
84,Heather Mccarthy,31329.68,0.4821
546,Steven Perez,31316.57,0.4835
278,Angela Wood,31306.56,0.4848
400,Michelle Smith,31240.45,0.4862
209,Brian Harris,31233.03,0.4876
560,Hannah Williams,31166.66,0.489
382,Lisa Adams,31129.39,0.4904
331,Krystal Bradley,31048.0,0.4917
152,Jennifer Malone,30964.92,0.4931
106,Nicholas Johnson,30914.99,0.4945
452,Mallory Simpson,30914.65,0.4959
161,Daniel James,30783.61,0.4972
378,Christine Estrada,30782.44,0.4986
386,Ariel Hodge,30755.06,0.5
637,Lisa Garcia,30656.28,0.5014
170,Donald Levy,30596.71,0.5028
766,Melissa Martinez,30507.77,0.5041
368,Randy Allen,30501.3,0.5055
516,Craig Sandoval,30444.23,0.5069
341,James Herrera,30359.45,0.5083
15,Jose Richards,30338.23,0.5096
704,Gabriel Nielsen,30296.93,0.511
214,George Meza,30263.16,0.5124
476,Stephanie Allen,30176.88,0.5138
444,Amanda Carlson,30153.95,0.5152
653,Willie Bennett,30143.66,0.5165
197,David Brown,30077.7,0.5179
755,Robert Taylor,30064.16,0.5193
28,Caleb Smith,29822.81,0.5207
275,Valerie Contreras,29769.89,0.522
429,Brenda Bailey,29766.81,0.5234
179,Cory Jennings,29717.36,0.5248
552,Vanessa Graham,29697.25,0.5262
344,Steven Roman,29663.88,0.5275
440,Amy Fritz,29661.83,0.5289
495,Dana Foster,29661.3,0.5303
427,Amanda Diaz,29564.92,0.5317
481,Brian Villarreal,29386.78,0.5331
491,Michael Franco,29356.04,0.5344
487,Steven Campbell,29308.75,0.5358
655,Bill Mcfarland,29271.24,0.5372
224,Steven Spencer,29260.56,0.5386
99,Shelly Gonzalez,29049.35,0.5399
604,Chelsea Strickland,28915.9,0.5413
76,Reginald Hernandez,28583.67,0.5427
693,Michael Robinson,28581.45,0.5441
580,Paul Johnson,28319.56,0.5455
606,Jimmy Smith,28235.26,0.5468
535,Debra Mcdaniel,28210.99,0.5482
699,Adam Macias,27991.53,0.5496
93,Karen Decker,27923.38,0.551
768,Kelli Warren,27892.17,0.5523
305,Brittney Romero,27862.56,0.5537
68,Kyle Ortiz,27788.87,0.5551
417,Jonathan Dixon,27759.97,0.5565
255,John Sandoval,27690.1,0.5579
211,Jerry Hansen,27675.21,0.5592
797,Tina Kramer,27619.09,0.5606
497,Mark Chavez,27558.56,0.562
544,Kristen Ruiz,27538.96,0.5634
586,David Becker,27536.37,0.5647
632,James Martinez,27483.95,0.5661
233,Debbie Henderson,27368.0,0.5675
641,James Weber,27338.45,0.5689
144,Amanda Reed,27315.54,0.5702
556,Katherine Ayers,27214.18,0.5716
302,Sheila Fischer,27102.06,0.573
612,Lisa White,27065.67,0.5744
721,Becky Schroeder,27057.71,0.5758
426,Jason Ramirez,26970.45,0.5771
796,Michael Moore,26807.93,0.5785
583,Stacey Lam,26764.92,0.5799
227,John Kim,26686.26,0.5813
91,Elizabeth Miller,26635.93,0.5826
416,Deborah Rasmussen,26627.8,0.584
60,Joseph Cobb,26588.96,0.5854
431,John Wilson,26563.2,0.5868
402,Joseph Adams,26479.95,0.5882
237,Colleen Orr,26411.34,0.5895
54,Charles Ware,26394.13,0.5909
680,Mark Anderson,26295.89,0.5923
659,Stephanie Montgomery,26158.67,0.5937
599,Kelsey Dean,26103.64,0.595
288,Christine Johnson,26046.81,0.5964
64,Gregory Estes,26032.6,0.5978
202,Heather Johnson,25954.94,0.5992
619,Matthew Mills,25911.18,0.6006
329,Troy Mays,25799.29,0.6019
334,Sean Adams,25676.22,0.6033
293,Brent Dougherty,25670.71,0.6047
137,Anthony Mccoy,25584.6,0.6061
6,Michael Cooper,25552.41,0.6074
279,Unknown Customer,25506.01,0.6088
276,Kevin Moore,25461.21,0.6102
490,Laura Hernandez,25442.16,0.6116
372,Brandy Cortez,25437.64,0.6129
787,Charles Harrison,25350.89,0.6143
45,Emily Evans,25295.89,0.6157
67,Elizabeth Rivera,25236.34,0.6171
390,Francisco Allen,25220.9,0.6185
633,James Morgan,25009.59,0.6198
736,Timothy Sanchez,24933.88,0.6212
747,Sheila Johnson,24857.09,0.6226
323,Sarah Russell,24848.09,0.624
166,Debbie Parker,24815.66,0.6253
254,Cynthia Zavala,24760.41,0.6267
113,Joshua Lawrence,24714.44,0.6281
173,Daniel Hall,24696.25,0.6295
87,Kenneth Price,24524.72,0.6309
147,Laura Pearson,24467.12,0.6322
139,Marilyn Jimenez,24438.76,0.6336
706,Catherine Ruiz,24389.42,0.635
182,David Cunningham,24294.64,0.6364
778,Nicole Kim,24165.26,0.6377
786,Heidi Johnson,23819.68,0.6391
22,Amber Osborne,23776.32,0.6405
608,Jonathan Hall,23719.22,0.6419
662,Unknown Customer,23701.62,0.6433
351,Steven Ball,23638.36,0.6446
13,Leslie Adams,23619.96,0.646
743,Christine Moore,23600.52,0.6474
408,John Bennett,23577.18,0.6488
478,Jacqueline Martin,23577.12,0.6501
105,Joshua Hayes,23467.57,0.6515
741,Patricia Adams,23288.46,0.6529
692,Erik Knight,23219.93,0.6543
593,Jessica Perez,23218.21,0.6556
175,Brandon Johnson,23124.23,0.657
14,Nicole Day™,23052.61,0.6584
24,Stacey Miller,23005.2,0.6598
324,Unknown Customer,22900.15,0.6612
369,Kyle Ward,22885.72,0.6625
133,Lisa Pierce,22773.46,0.6639
574,Stephen Robinson,22727.95,0.6653
228,Paul Schroeder,22676.26,0.6667
700,Juan Hernandez,22450.05,0.668
540,Sara Fernandez,22350.84,0.6694
587,Victoria Cooper,22350.05,0.6708
90,Samantha Hooper,22299.35,0.6722
269,Patrick Bradley,22183.12,0.6736
134,Tara Powell,22081.96,0.6749
558,Todd Lynch,22064.27,0.6763
94,Brett Crane,22028.55,0.6777
63,Darlene Ross,21959.31,0.6791
445,Unknown Customer,21930.17,0.6804
578,Rachel Trujillo,21823.42,0.6818
124,Michele Jones,21782.54,0.6832
464,Robert Parks,21749.83,0.6846
239,Amanda Collins,21684.97,0.686
187,Kimberly Palmer,21513.44,0.6873
306,Thomas Smith,21320.86,0.6887
784,David Gonzales,21143.67,0.6901
620,Timothy Alvarado,21132.4,0.6915
317,Keith Berry,21004.91,0.6928
298,Melanie Jordan,20936.21,0.6942
125,Ronald Stephens,20807.31,0.6956
73,Christine Davis,20724.6,0.697
56,Laura Valencia,20678.39,0.6983
602,Elaine Nelson,20660.13,0.6997
225,Denise Morris,20576.86,0.7011
115,Angela Terry,20523.82,0.7025
643,Brandi Bender,20509.29,0.7039
524,Michelle Yu,20449.39,0.7052
274,Shannon Roach,20324.76,0.7066
337,Christina Robinson,20298.93,0.708
206,Karen Williams,20285.16,0.7094
364,Joseph Nunez,20243.86,0.7107
572,Evelyn Wells,20190.84,0.7121
739,Amanda Haynes,20104.19,0.7135
49,Sarah Garciağ,19988.36,0.7149
167,Christopher Phillips,19871.5,0.7163
204,Cynthia Johnson,19823.38,0.7176
550,Raven Klein,19795.36,0.719
33,Emily Joyce,19782.81,0.7204
359,Tyler Compton,19773.25,0.7218
677,Eugene Walker,19771.02,0.7231
428,Michelle Rose,19729.65,0.7245
118,Crystal Brown,19710.95,0.7259
543,Jamie Little,19639.25,0.7273
589,Shannon Clark,19574.61,0.7287
409,James Osborn,19552.18,0.73
730,Theresa Miller,19497.03,0.7314
10,Mitchell Clark,19390.92,0.7328
21,Unknown Customer,19266.91,0.7342
380,Tiffany Smith,19223.99,0.7355
216,Matthew Cook,19160.0,0.7369
127,Holly Bender,19038.71,0.7383
505,Nathan Mccoy,18904.76,0.7397
307,Laura Swanson,18848.77,0.741
685,Kim Tucker,18843.89,0.7424
561,Lisa Turner,18566.34,0.7438
171,Angela Davis,18527.35,0.7452
762,Crystal Thomas,18416.92,0.7466
592,Stephanie Mcclain,18282.9,0.7479
272,Unknown Customer,18227.82,0.7493
151,Melissa Phelps,18163.65,0.7507
585,Steven Wilson,18066.52,0.7521
322,Robert Love,17745.19,0.7534
605,Ethan Kelley,17706.96,0.7548
263,Ryan Carney,17675.89,0.7562
757,Lisa Woods,17594.9,0.7576
103,Gregory Boyd,17575.11,0.759
89,Todd Price,17530.03,0.7603
301,Unknown Customer,17511.8,0.7617
146,Robert Flores,17455.09,0.7631
509,Felicia Thompson,17449.65,0.7645
159,Erica Moore,17442.3,0.7658
286,Rachel Morgan,17303.5,0.7672
391,Martin Campos,17297.49,0.7686
763,Richard Meadows,17278.28,0.77
229,Cameron Davis,17126.1,0.7713
527,Nicholas Gross,17070.11,0.7727
348,Shane Starkñ,16912.98,0.7741
616,Kimberly Carr,16854.96,0.7755
536,Kenneth Flores,16771.32,0.7769
107,Lauren Peterson,16663.62,0.7782
172,Miguel Curry,16440.94,0.7796
460,Unknown Customer,16300.37,0.781
771,Michelle Nguyen,16196.76,0.7824
559,Charlotte Steele,16165.32,0.7837
250,David Allen,16120.57,0.7851
785,Jeff Fisher,15961.52,0.7865
737,Michelle Olson,15785.39,0.7879
442,Kimberly Youngω,15748.46,0.7893
753,Gina Olsen,15744.32,0.7906
775,Alex Mills,15672.65,0.792
473,Jennifer Wang,15598.09,0.7934
614,Garrett Anderson,15534.91,0.7948
628,Martin Saunders,15459.38,0.7961
270,Nathan Hines,15281.77,0.7975
40,Jeff Brown,15235.83,0.7989
388,Juan Daniels,15144.97,0.8003
652,Kelly Thompson,15066.47,0.8017
617,Paige Alexander,15017.04,0.803
335,Jose Ward,14948.78,0.8044
196,Christopher Miller,14802.91,0.8058
340,Michael Stark,14773.8,0.8072
422,Andrew Cooper,14688.89,0.8085
82,Kimberly Washington,14616.07,0.8099
342,Erin Love,14587.29,0.8113
177,Eric Perry,14559.04,0.8127
339,Elizabeth Robinson,14518.48,0.814
742,Jill Salas,14501.91,0.8154
557,Justin Nichols,14486.23,0.8168
790,Unknown Customer,14468.64,0.8182
720,Timothy Wood,14418.13,0.8196
300,Paul Cole,14340.2,0.8209
80,Lisa Mcclain,14268.0,0.8223
122,Christopher Allen,14251.04,0.8237
111,Michael Chavez,14241.66,0.8251
277,David Harris,14191.39,0.8264
61,Jeffrey Velasquez,14030.06,0.8278
507,David Stein,14026.95,0.8292
309,George Fuller,13812.06,0.8306
5,Roberto Ramirez,13765.58,0.832
437,Kathleen Carter,13679.29,0.8333
235,Chris Richard,13641.41,0.8347
180,Tammy Rush™,13577.48,0.8361
745,Leslie Villanueva,13450.5,0.8375
438,Stephen Newton,13305.51,0.8388
18,Allison Maddox,13279.05,0.8402
639,Tara Chavez,13237.45,0.8416
238,Erica Young,13173.55,0.843
266,Danielle Moody,13046.53,0.8444
511,Nicole Mendoza,13018.48,0.8457
114,Jeremy White,12981.19,0.8471
212,Andrew Morse,12964.66,0.8485
370,Tina Harrison,12685.23,0.8499
155,Brandon Flynn,12666.12,0.8512
357,Kevin Thomas,12641.33,0.8526
109,Travis Mcguire,12639.61,0.854
696,Amy Thompson,12573.96,0.8554
273,Justin Hendricks,12446.93,0.8567
59,Nicole Johnson,12441.11,0.8581
611,Unknown Customer,12378.61,0.8595
514,Paul White,12277.78,0.8609
581,Gina Little,12232.58,0.8623
268,Kimberly Johnsonğ,12208.97,0.8636
44,Alexandra Donovan,12208.46,0.865
676,Amy Miller,11941.37,0.8664
457,Brett Garrett,11825.39,0.8678
618,Katrina Ray,11770.86,0.8691
165,John Campos,11611.11,0.8705
294,Lisa Peck,11608.79,0.8719
83,Joseph Flores,11594.99,0.8733
748,Gregory Bray,11392.37,0.8747
414,Tanya Miles,11221.57,0.876
17,Erin Carlson,11170.33,0.8774
355,Scott Fernandez,11134.74,0.8788
299,Brandon Williams,11085.11,0.8802
281,Erin Cooper,11040.33,0.8815
97,Miguel Obrien,10787.25,0.8829
319,Jennifer Reed,10446.62,0.8843
573,Unknown Customer,10309.14,0.8857
79,Elizabeth Travis,10281.48,0.8871
291,Jessica Valencia,10238.99,0.8884
223,Marie Jones,10208.38,0.8898
420,Michael Cooper,10071.07,0.8912
687,Charles Jones,9961.1,0.8926
327,Tyler Zuniga,9940.7,0.8939
326,Nicole Thompson,9928.68,0.8953
219,Gregory Mejia,9853.85,0.8967
789,James Moss,9852.8,0.8981
724,Adam Davis,9802.04,0.8994
244,Dylan Kim,9782.64,0.9008
545,Unknown Customer,9776.39,0.9022
672,Patrick Short,9709.49,0.9036
363,Mark Miller,9678.04,0.905
638,Tiffany Moon,9610.88,0.9063
136,Brett Adams,9495.36,0.9077
52,Cynthia Calderon,9316.35,0.9091
722,Julie Griffin,9267.8,0.9105
190,Charles Miller,9208.12,0.9118
459,Sean Smith,9003.32,0.9132
257,Crystal Cain,8953.65,0.9146
11,Jessica Martin,8951.17,0.916
231,Donald Bailey,8885.73,0.9174
346,Unknown Customer,8771.37,0.9187
479,Unknown Customer,8570.53,0.9201
486,Emily Williams,8210.12,0.9215
609,Morgan Phelps,7976.11,0.9229
800,Unknown Customer,7878.74,0.9242
53,Tina Martin,7727.01,0.9256
26,Rodney Lewis,7404.6,0.927
489,Micheal Bonilla,7402.82,0.9284
538,Patricia Bush,7305.08,0.9298
471,Gerald Ruiz,7107.37,0.9311
110,Elizabeth Wood,7098.02,0.9325
715,Katie Kent,6954.78,0.9339
504,Laura Martinez,6924.66,0.9353
108,Christopher Cortez,6598.02,0.9366
472,Jose Williams,6531.2,0.938
670,Adam Cortez,6499.31,0.9394
121,Brian Choi,6291.32,0.9408
295,Wendy Owens,6100.42,0.9421
623,Tara Williams,5779.12,0.9435
184,Vanessa Fernandez,5710.56,0.9449
780,Kathy Kent,5681.16,0.9463
510,Edgar Mendez,5573.92,0.9477
343,Brian Anderson,5454.72,0.949
58,Eric Spears,5358.36,0.9504
764,Denise Page,5168.94,0.9518
467,Jamie Lawson,5133.78,0.9532
767,Garrett Garcia,4981.03,0.9545
