customer_id,name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_cell,rfm_total
691,Elaine Charles,0,6,85316.57,5,5,5,555,15
746,Raymond Christensen,0,7,109225.74,5,5,5,555,15
712,Rachel Ryan,0,9,76622.74,5,5,5,555,15
512,Dawn Robles,237,4,55573.93,4,5,5,455,14
681,Rachel Stewart,237,7,74862.41,4,5,5,455,14
189,Yolanda Boone,230,5,54485.42,4,5,5,455,14
311,Robert Gutierrez,229,4,60842.64,4,5,5,455,14
688,Kayla Lewis,224,4,61536.49,4,5,5,455,14
50,Julia Moore,220,4,72645.19,4,5,5,455,14
664,Cody Bonilla,219,7,70809.33,4,5,5,455,14
744,Elizabeth Austin,209,4,69692.64,4,5,5,455,14
289,John Aguirre,191,4,63205.2,4,5,5,455,14
710,William Barnes,184,6,75244.46,4,5,5,455,14
328,Ashley Rodriguez,183,8,67576.45,4,5,5,455,14
577,Mark Hill,171,5,58395.17,4,5,5,455,14
381,Daniel Davis,169,5,69784.22,4,5,5,455,14
713,Nancy Wolfe,168,5,65490.08,4,5,5,455,14
330,Daniel Martin,168,6,58280.25,4,5,5,455,14
74,James Johnson,167,6,94463.83,4,5,5,455,14
36,Andrea Williams,164,4,58626.31,4,5,5,455,14
454,Mary Smith,164,8,99381.84,4,5,5,455,14
8,Barbara Bush,160,6,50305.93,4,5,5,455,14
424,Lauren Soto✓,149,5,55139.32,4,5,5,455,14
590,Kristen Chan,149,6,65078.05,4,5,5,455,14
366,Mason Krueger,143,4,57843.66,4,5,5,455,14
145,Molly Pollard,143,5,67050.11,4,5,5,455,14
570,Justin Hughes中,136,5,54277.5,4,5,5,455,14
441,Shannon Bailey,136,5,100598.09,4,5,5,455,14
120,Rebekah Evans,130,4,58668.19,4,5,5,455,14
394,Tracy Kelly,128,9,115071.81,4,5,5,455,14
213,Jenna Butler,125,6,73975.72,4,5,5,455,14
567,Stephen Hull,123,4,71320.35,4,5,5,455,14
191,Cynthia Kelley,106,6,51450.04,4,5,5,455,14
162,Tiffany Barrett,96,6,57195.83,4,5,5,455,14
465,Karen Lawrence,90,4,50987.04,5,4,5,545,14
102,Daniel Yu,75,3,53047.2,5,4,5,545,14
27,Emily Brooks,71,6,47285.68,5,5,4,554,14
701,Robert Rivera,65,4,51134.06,5,4,5,545,14
496,Joel Green,52,5,42372.9,5,5,4,554,14
405,Meagan James,51,4,53950.81,5,4,5,545,14
734,Gregory Hunter,49,5,40106.17,5,5,4,554,14
425,Christina Gonzalez,37,6,37108.17,5,5,4,554,14
705,Dana Johns,27,6,47718.36,5,5,4,554,14
57,Michael Castro,27,7,48970.9,5,5,4,554,14
92,Jorge Murphy,21,3,69391.02,5,4,5,545,14
461,Lawrence Ibarra,20,5,42550.34,5,5,4,554,14
158,Jesse Little,20,6,42705.86,5,5,4,554,14
455,Susan Harris,7,6,40547.15,5,5,4,554,14
765,Kimberly Mcmillan,0,5,48992.4,5,5,4,554,14
759,Unknown Customer,416,4,66587.49,3,5,5,355,13
443,Gabriel Taylor,410,5,78668.26,3,5,5,355,13
498,Kayla Rodriguez,397,6,60709.37,3,5,5,355,13
160,Hannah Bryant,390,5,87435.6,3,5,5,355,13
69,Elizabeth Gray,386,6,54707.6,3,5,5,355,13
674,Erica Sloan,373,4,57227.66,3,5,5,355,13
200,Daniel Bruce,366,4,65985.25,3,5,5,355,13
733,Catherine Lee,352,4,65353.9,3,5,5,355,13
740,Kaitlyn Peterson,327,5,59073.32,3,5,5,355,13
249,Shelby Lynch,320,4,69747.33,3,5,5,355,13
77,Nicole Osborne,315,5,53979.17,3,5,5,355,13
168,Kristin Walter,304,5,87242.87,3,5,5,355,13
199,Michael Lane,286,5,54962.14,3,5,5,355,13
284,Meghan King,283,7,57121.13,3,5,5,355,13
376,Charles Meyers,272,4,65180.97,3,5,5,355,13
673,Derek Myers,272,5,68679.39,3,5,5,355,13
195,Ronald Ortega,269,5,73235.56,3,5,5,355,13
360,Heather Russell,266,5,55672.54,3,5,5,355,13
119,Angela Butler,266,5,60217.85,3,5,5,355,13
178,Antonio Wood,258,5,55085.48,3,5,5,355,13
260,Michael Norman,251,6,51076.21,3,5,5,355,13
519,Stacey Elliott,228,3,71601.71,4,4,5,445,13
251,Candice Smith,221,4,53629.02,4,4,5,445,13
625,Sergio Wilson,207,5,38269.04,4,5,4,454,13
23,Daniel Cox,188,7,42341.86,4,5,4,454,13
769,Diana Mcclure,187,4,53194.85,4,4,5,445,13
453,Ashlee Washington,182,3,53690.75,4,4,5,445,13
296,William Levy,180,4,50685.84,4,4,5,445,13
483,John Ruiz,163,4,51557.87,4,4,5,445,13
117,Shelley Woods,161,6,38746.55,4,5,4,454,13
1,Danielle Johnson,123,5,45665.29,4,5,4,454,13
252,Aaron Gomez,89,4,47535.48,5,4,4,544,13
644,Justin Boone,87,3,42464.36,5,4,4,544,13
48,Jade Carr,78,3,41319.18,5,4,4,544,13
569,Sean Horne,68,4,39574.13,5,4,4,544,13
217,William Bullock,55,4,44436.61,5,4,4,544,13
4,Robert Cole,54,3,46165.42,5,4,4,544,13
176,Derek Chavez,22,4,35245.53,5,4,4,544,13
658,Christopher Walker,22,4,44706.8,5,4,4,544,13
610,Melissa Zamora,21,3,40891.5,5,4,4,544,13
580,Paul Johnson,3,5,28319.56,5,5,3,553,13
528,Jacqueline Berry,2,4,47770.92,5,4,4,544,13
532,John Jones,0,4,37870.58,5,4,4,544,13
132,Mia Rivera,0,4,47172.83,5,4,4,544,13
792,Elizabeth Mcpherson,619,5,70626.86,2,5,5,255,12
520,Unknown Customer,593,5,75568.54,2,5,5,255,12
318,Loretta Blevins,579,4,71093.78,2,5,5,255,12
153,Gabrielle Mitchell,575,4,87315.02,2,5,5,255,12
392,Brian Kim,571,4,74120.59,2,5,5,255,12
128,Bill Reynolds,543,5,63969.57,2,5,5,255,12
66,Jonathan Fletcher,535,5,67957.32,2,5,5,255,12
256,Matthew Day,527,4,58747.55,2,5,5,255,12
232,Sharon Collins,510,5,61061.81,2,5,5,255,12
435,James Cruz,492,5,55701.53,2,5,5,255,12
648,John Mueller,483,4,55989.87,2,5,5,255,12
621,Patricia Salazar,454,6,53874.06,2,5,5,255,12
353,Christina Mayer,453,4,64266.57,2,5,5,255,12
241,Patrick Rose,418,4,54359.08,3,4,5,345,12
439,Ashley Adams,408,5,44143.71,3,5,4,354,12
96,Thomas Wilson,407,4,51999.02,3,4,5,345,12
749,Alexander Clark,407,5,48429.54,3,5,4,354,12
393,Stephanie Sanders,397,5,35958.48,3,5,4,354,12
345,Julie Lane,391,3,57897.67,3,4,5,345,12
547,Colin Barnett,391,6,37542.24,3,5,4,354,12
412,Kristina Jones,380,3,53001.94,3,4,5,345,12
631,Travis Underwood,367,4,53760.53,3,4,5,345,12
421,Connor Bowen,360,5,39358.58,3,5,4,354,12
521,Jesse Robinson,349,5,43222.57,3,5,4,354,12
399,Ricky Johnson,324,5,41157.15,3,5,4,354,12
303,Benjamin Reeves,318,4,49638.77,3,4,5,345,12
494,Unknown Customer,313,4,50628.24,3,4,5,345,12
413,William Knapp,309,4,52064.53,3,4,5,345,12
582,Howard Davis✓,266,3,61190.15,3,4,5,345,12
488,Alan Gonzalez,265,3,56508.12,3,4,5,345,12
383,Annette Branch,252,3,70166.86,3,4,5,345,12
484,Austin Pratt,230,4,37371.09,4,4,4,444,12
531,Lorraine Santiago,228,3,40624.96,4,4,4,444,12
551,Gerald Joyce,219,3,42199.35,4,4,4,444,12
597,Lisa Smith,212,3,48787.78,4,4,4,444,12
525,Kevin Taylor,211,4,45984.71,4,4,4,444,12
401,Rachel Stein,206,4,43316.58,4,4,4,444,12
779,Maria Walker,191,4,42885.87,4,4,4,444,12
493,Robert Woodward,184,3,45826.24,4,4,4,444,12
253,Christopher Villegas,179,3,44987.49,4,4,4,444,12
336,Erik Parks,171,4,40864.24,4,4,4,444,12
436,Robert Larsen,168,4,37815.05,4,4,4,444,12
548,Jeremy Brown,146,4,46015.0,4,4,4,444,12
157,Monica Harvey,136,4,46272.15,4,4,4,444,12
374,Steven Oconnor,123,3,43512.99,4,4,4,444,12
458,Cody Lewis,121,3,44280.72,4,4,4,444,12
793,Laura Richards,113,4,39611.32,4,4,4,444,12
651,Janet Holland,98,4,38394.68,4,4,4,444,12
604,Chelsea Strickland,72,4,28915.9,5,4,3,543,12
427,Amanda Diaz,69,4,29564.92,5,4,3,543,12
246,Jeffrey Flores,63,4,34185.97,5,4,3,543,12
15,Jose Richards,60,4,30338.23,5,4,3,543,12
561,Lisa Turner,55,5,18566.34,5,5,2,552,12
99,Shelly Gonzalez,52,4,29049.35,5,4,3,543,12
637,Lisa Garcia,52,4,30656.28,5,4,3,543,12
481,Brian Villarreal,49,4,29386.78,5,4,3,543,12
209,Brian Harris,48,4,31233.03,5,4,3,543,12
709,Jerry Cruz,42,3,38593.15,5,3,4,534,12
647,Michael Chavez,14,3,37208.99,5,3,4,534,12
312,Samantha Salas,10,4,33886.32,5,4,3,543,12
702,Jason Martin,3,4,32607.7,5,4,3,543,12
221,Unknown Customer,0,3,35373.46,5,3,4,534,12
25,David Keller,0,3,35459.57,5,3,4,534,12
653,Willie Bennett,0,4,30143.66,5,4,3,543,12
620,Timothy Alvarado,0,5,21132.4,5,5,2,552,12
377,Jesse Mann,1010,4,61972.11,1,5,5,155,11
297,Carla Cameron,774,4,74305.0,1,5,5,155,11
626,Angela Smith,771,4,61202.71,1,5,5,155,11
264,Donna Parker,748,4,64422.77,1,5,5,155,11
707,Douglas Aguilar,735,4,74844.02,1,5,5,155,11
248,Christina Bullock,726,6,54464.83,1,5,5,155,11
12,Gabrielle Cameron,725,4,58545.04,1,5,5,155,11
474,Amanda Hernandez,716,4,59962.27,1,5,5,155,11
776,Alan Weeks,699,4,69240.71,1,5,5,155,11
356,Jim Hendricks,689,5,69839.46,1,5,5,155,11
656,Megan Turner,575,5,37338.22,2,5,4,254,11
485,Robert Cortez,573,3,50677.98,2,4,5,245,11
537,Eugene Jones,540,3,65921.46,2,4,5,245,11
81,Michelle Coleğ,488,5,36067.99,2,5,4,254,11
772,Sarah Dunn,430,5,49382.41,2,5,4,254,11
667,Julie Hernandez,417,4,36881.07,3,4,4,344,11
410,Jeanette Gonzales,398,4,43032.04,3,4,4,344,11
501,Jason Gates,396,4,47350.94,3,4,4,344,11
622,Tyler Martin,396,4,48799.34,3,4,4,344,11
85,Steven Brown,392,4,48276.25,3,4,4,344,11
689,Desiree Hernandez,366,4,38834.82,3,4,4,344,11
603,William Williamson,345,3,43052.83,3,4,4,344,11
690,Mercedes Anderson,330,3,42278.0,3,4,4,344,11
192,Kenneth Wagner,318,3,43591.46,3,4,4,344,11
539,Brian Rivera,310,4,44624.24,3,4,4,344,11
259,Veronica Daniels,306,3,48211.9,3,4,4,344,11
373,Ashley Sanchez,306,4,44123.2,3,4,4,344,11
645,Dustin Santiago,295,3,47847.87,3,4,4,344,11
500,Melissa Davis,268,4,42617.24,3,4,4,344,11
598,William Martinez,263,3,47761.44,3,4,4,344,11
679,Kelly Jones,251,3,43975.53,3,4,4,344,11
347,Justin White,251,4,36563.86,3,4,4,344,11
88,Amy Morrison,245,3,49322.83,3,4,4,344,11
51,Cynthia Baker,245,4,37709.06,3,4,4,344,11
310,John Armstrong,223,4,34126.19,4,4,3,443,11
104,Steven Petersen,221,3,36630.79,4,3,4,434,11
781,Robert Castaneda,220,4,32483.98,4,4,3,443,11
174,Cynthia Marshall,214,3,39168.86,4,3,4,434,11
777,Russell Carter,207,4,33531.08,4,4,3,443,11
659,Stephanie Montgomery,181,4,26158.67,4,4,3,443,11
227,John Kim,172,4,26686.26,4,4,3,443,11
237,Colleen Orr,154,4,26411.34,4,4,3,443,11
529,Lisa Carr,153,2,67288.67,4,2,5,425,11
331,Krystal Bradley,150,4,31048.0,4,4,3,443,11
222,Michael Jones,138,4,33784.06,4,4,3,443,11
20,Shawn Mckay,132,3,38519.7,4,3,4,434,11
636,Savannah Roberson,129,3,37368.71,4,3,4,434,11
116,Audrey Harrison,113,3,35423.35,4,3,4,434,11
163,Julie Williams,109,3,35027.0,4,3,4,434,11
368,Randy Allen,94,3,30501.3,5,3,3,533,11
218,Curtis Scott,81,2,44382.01,5,2,4,524,11
552,Vanessa Graham,79,3,29697.25,5,3,3,533,11
112,David Herrera,77,3,33764.87,5,3,3,533,11
487,Steven Campbell,76,3,29308.75,5,3,3,533,11
599,Kelsey Dean,75,3,26103.64,5,3,3,533,11
503,Stephanie Bond,60,3,31578.78,5,3,3,533,11
568,William Reid,51,2,40455.32,5,2,4,524,11
214,George Meza,44,3,30263.16,5,3,3,533,11
491,Michael Franco,35,3,29356.04,5,3,3,533,11
431,John Wilson,31,3,26563.2,5,3,3,533,11
76,Reginald Hernandez,30,3,28583.67,5,3,3,533,11
612,Lisa White,13,3,27065.67,5,3,3,533,11
693,Michael Robinson,0,3,28581.45,5,3,3,533,11
766,Melissa Martinez,0,3,30507.77,5,3,3,533,11
378,Christine Estrada,0,3,30782.44,5,3,3,533,11
242,John Davidson,0,3,33913.43,5,3,3,533,11
13,Leslie Adams,0,4,23619.96,5,4,2,542,11
247,Justin Gallegos,832,5,47819.11,1,5,4,154,10
462,Nancy May,701,3,58823.08,1,4,5,145,10
41,Breanna Shaw,661,4,41184.75,2,4,4,244,10
398,Curtis Miller,657,4,45092.56,2,4,4,244,10
230,Melissa Brandt,649,4,47269.77,2,4,4,244,10
728,Melissa Galvan,618,4,40043.14,2,4,4,244,10
418,Kelsey Chapman,610,4,43216.59,2,4,4,244,10
682,Elijah Knight,565,3,43057.44,2,4,4,244,10
55,Brandi Hernandez,564,3,41389.59,2,4,4,244,10
594,Wesley Torres,563,4,41595.97,2,4,4,244,10
492,Diane Sweeney,536,3,44841.45,2,4,4,244,10
101,Mitchell Hunterğ,515,3,45263.81,2,4,4,244,10
308,Diana Stanton,510,3,41697.76,2,4,4,244,10
406,Derek Flores,483,3,41408.8,2,4,4,244,10
7,Unknown Customer,481,4,44435.12,2,4,4,244,10
314,Steve Patel,481,4,45396.8,2,4,4,244,10
518,Joel Stewart,472,4,47647.6,2,4,4,244,10
16,William Davis,459,3,44855.42,2,4,4,244,10
456,Nancy Mcdowell,458,3,42065.66,2,4,4,244,10
613,Mary Vaughn,457,4,46255.26,2,4,4,244,10
770,Courtney Anderson,425,4,41754.94,2,4,4,244,10
686,Juan Serrano,424,4,45090.28,2,4,4,244,10
350,Allison Luna,382,2,55504.99,3,2,5,325,10
287,Brandon May,374,3,39248.29,3,3,4,334,10
615,Dale Pruitt,369,4,32604.59,3,4,3,343,10
729,Zachary Hall,368,3,36625.49,3,3,4,334,10
65,Jessica Edwards,363,3,36105.54,3,3,4,334,10
684,Dennis Quinn😀,358,3,37248.62,3,3,4,334,10
106,Nicholas Johnson,338,4,30914.99,3,4,3,343,10
186,Joseph Martinez,325,3,40218.81,3,3,4,334,10
354,Brittney Griffin,315,3,36924.28,3,3,4,334,10
727,Sonya Wilkins,302,3,38646.06,3,3,4,334,10
571,Erica Adams,302,4,34565.16,3,4,3,343,10
731,Richard Gonzalez,291,4,34143.31,3,4,3,343,10
144,Amanda Reed,252,4,27315.54,3,4,3,343,10
283,Fernando Donovan,249,4,32995.51,3,4,3,343,10
546,Steven Perez,238,4,31316.57,3,4,3,343,10
288,Christine Johnson,227,3,26046.81,4,3,3,433,10
202,Heather Johnson,226,3,25954.94,4,3,3,433,10
130,April Ramos,223,3,33894.33,4,3,3,433,10
409,James Osborn,223,4,19552.18,4,4,2,442,10
149,Alicia Bryant,222,2,37371.04,4,2,4,424,10
84,Heather Mccarthy,196,3,31329.68,4,3,3,433,10
225,Denise Morris,176,4,20576.86,4,4,2,442,10
516,Craig Sandoval,165,3,30444.23,4,3,3,433,10
67,Elizabeth Rivera,165,4,25236.34,4,4,2,442,10
380,Tiffany Smith,164,4,19223.99,4,4,2,442,10
170,Donald Levy,163,3,30596.71,4,3,3,433,10
35,Joshua Wright,163,3,31766.84,4,3,3,433,10
197,David Brown,160,3,30077.7,4,3,3,433,10
657,Jeffrey White,149,3,32939.92,4,3,3,433,10
650,Julia Harris,149,3,33217.74,4,3,3,433,10
129,Brenda Smith,147,3,32587.61,4,3,3,433,10
583,Stacey Lam,144,3,26764.92,4,3,3,433,10
697,Rachel Miller,137,3,34277.06,4,3,3,433,10
699,Adam Macias,132,3,27991.53,4,3,3,433,10
382,Lisa Adams,127,3,31129.39,4,3,3,433,10
6,Michael Cooper,125,4,25552.41,4,4,2,442,10
634,Mary Chapman,97,2,42523.57,4,2,4,424,10
171,Angela Davis,94,3,18527.35,5,3,2,532,10
166,Debbie Parker,93,3,24815.66,5,3,2,532,10
550,Raven Klein,82,3,19795.36,5,3,2,532,10
589,Shannon Clark,65,3,19574.61,5,3,2,532,10
505,Nathan Mccoy,57,3,18904.76,5,3,2,532,10
390,Francisco Allen,26,3,25220.9,5,3,2,532,10
476,Stephanie Allen,3,2,30176.88,5,2,3,523,10
586,David Becker,0,2,27536.37,5,2,3,523,10
739,Amanda Haynes,0,3,20104.19,5,3,2,532,10
147,Laura Pearson,0,3,24467.12,5,3,2,532,10
126,Charles Martin,1225,3,47343.01,1,4,4,144,9
469,Victor Wheeler,1188,3,47666.19,1,4,4,144,9
258,Bradley Gonzalez,1059,3,41343.55,1,4,4,144,9
123,Hannah Harrison,837,3,44061.93,1,4,4,144,9
624,Christian Wallace,818,3,41233.73,1,4,4,144,9
515,Unknown Customer,723,4,39408.64,1,4,4,144,9
332,Penny Wilcoxñ,723,4,43279.59,1,4,4,144,9
661,Manuel Moon,683,4,36625.81,1,4,4,144,9
131,Lisa Costa,652,3,39096.74,2,3,4,234,9
349,Nancy Anderson,649,3,40119.12,2,3,4,234,9
228,Paul Schroeder,596,5,22676.26,2,5,2,252,9
544,Kristen Ruiz,565,4,27538.96,2,4,3,243,9
440,Amy Fritz,562,4,29661.83,2,4,3,243,9
379,Adam Arnold,547,4,33211.69,2,4,3,243,9
508,Gary Berry,546,3,39750.04,2,3,4,234,9
782,Unknown Customer,530,3,37583.72,2,3,4,234,9
316,Janet Vaughn,528,3,39818.32,2,3,4,234,9
395,Donna Miller,509,4,34822.52,2,4,3,243,9
98,Larry Lane,484,3,37507.17,2,3,4,234,9
415,Elizabeth Jackson,452,2,52877.49,2,2,5,225,9
554,Mark Hill,421,3,31474.13,3,3,3,333,9
400,Michelle Smith,418,3,31240.45,3,3,3,333,9
798,Andrew Gray,414,2,39990.22,3,2,4,324,9
28,Caleb Smith,392,3,29822.81,3,3,3,333,9
641,James Weber,384,3,27338.45,3,3,3,333,9
152,Jennifer Malone,379,3,30964.92,3,3,3,333,9
704,Gabriel Nielsen,368,3,30296.93,3,3,3,333,9
719,Joshua Becker,324,2,35585.09,3,2,4,324,9
737,Michelle Olson,308,4,15785.39,3,4,2,342,9
560,Hannah Williams,307,3,31166.66,3,3,3,333,9
593,Jessica Perez,303,4,23218.21,3,4,2,342,9
47,Michael Jones,301,3,33028.76,3,3,3,333,9
788,Theresa Espinoza,300,3,31466.32,3,3,3,333,9
449,Nicole Davis,292,3,31588.96,3,3,3,333,9
167,Christopher Phillips,278,4,19871.5,3,4,2,342,9
556,Katherine Ayers,273,3,27214.18,3,3,3,333,9
419,Dan Perry,272,3,32728.23,3,3,3,333,9
542,Christopher Colon,250,3,32937.84,3,3,3,333,9
19,Nicole Potter,243,3,34437.87,3,3,3,333,9
40,Jeff Brown,218,3,15235.83,4,3,2,432,9
172,Miguel Curry,204,3,16440.94,4,3,2,432,9
138,Alexander Russell,202,2,33936.65,4,2,3,423,9
279,Unknown Customer,200,3,25506.01,4,3,2,432,9
54,Charles Ware,196,2,26394.13,4,2,3,423,9
52,Cynthia Calderon,195,4,9316.35,4,4,1,441,9
206,Karen Williams,185,3,20285.16,4,3,2,432,9
755,Robert Taylor,162,2,30064.16,4,2,3,423,9
113,Joshua Lawrence,136,3,24714.44,4,3,2,432,9
680,Mark Anderson,134,2,26295.89,4,2,3,423,9
533,Samuel Barnes,124,2,33977.49,4,2,3,423,9
482,Emily Wilson,114,2,32985.92,4,2,3,423,9
14,Nicole Day™,92,2,23052.61,5,2,2,522,9
359,Tyler Compton,82,2,19773.25,5,2,2,522,9
611,Unknown Customer,80,3,12378.61,5,3,1,531,9
317,Keith Berry,62,2,21004.91,5,2,2,522,9
535,Debra Mcdaniel,53,1,28210.99,5,1,3,513,9
105,Joshua Hayes,45,2,23467.57,5,2,2,522,9
175,Brandon Johnson,36,2,23124.23,5,2,2,522,9
125,Ronald Stephens,32,2,20807.31,5,2,2,522,9
270,Nathan Hines,31,2,15281.77,5,2,2,522,9
182,David Cunningham,23,2,24294.64,5,2,2,522,9
524,Michelle Yu,19,2,20449.39,5,2,2,522,9
608,Jonathan Hall,11,2,23719.22,5,2,2,522,9
151,Melissa Phelps,2,2,18163.65,5,2,2,522,9
473,Jennifer Wang,0,2,15598.09,5,2,2,522,9
617,Paige Alexander,0,3,15017.04,5,3,1,531,9
642,William Benson,1044,3,39446.03,1,3,4,134,8
576,Justin Cohen,1003,2,51960.91,1,2,5,125,8
423,Zachary Arnold,972,3,38615.52,1,3,4,134,8
627,Diamond Bryant,928,3,35578.9,1,3,4,134,8
669,Shannon Sullivan,677,4,34234.15,1,4,3,143,8
783,Edwin Booker,629,2,43186.97,2,2,4,224,8
791,David Olson,624,2,41304.61,2,2,4,224,8
416,Deborah Rasmussen,612,3,26627.8,2,3,3,233,8
502,Randy Williams,609,2,39709.08,2,2,4,224,8
42,Melissa Jones,586,3,33862.83,2,3,3,233,8
678,Melissa York,583,3,34387.11,2,3,3,233,8
46,Anna Garcia,559,2,42954.2,2,2,4,224,8
60,Joseph Cobb,558,3,26588.96,2,3,3,233,8
426,Jason Ramirez,543,3,26970.45,2,3,3,233,8
91,Elizabeth Miller,532,3,26635.93,2,3,3,233,8
215,Ryan Morales,514,3,31613.28,2,3,3,233,8
555,Alexandra Barnes,511,3,32323.7,2,3,3,233,8
68,Kyle Ortiz,506,3,27788.87,2,3,3,233,8
352,Steven Moore,493,3,34207.39,2,3,3,233,8
475,Amanda Myers,492,3,32552.05,2,3,3,233,8
313,Ann Bolton,485,3,33447.79,2,3,3,233,8
93,Karen Decker,479,3,27923.38,2,3,3,233,8
255,John Sandoval,478,3,27690.1,2,3,3,233,8
43,Ashley Riley,478,3,32495.15,2,3,3,233,8
490,Laura Hernandez,472,4,25442.16,2,4,2,242,8
362,Anna Faulkner,465,2,46825.25,2,2,4,224,8
224,Steven Spencer,463,3,29260.56,2,3,3,233,8
402,Joseph Adams,457,3,26479.95,2,3,3,233,8
358,Angela Vargas,455,3,33948.61,2,3,3,233,8
226,Lisa Monroe,454,3,34608.29,2,3,3,233,8
797,Tina Kramer,439,3,27619.09,2,3,3,233,8
305,Brittney Romero,437,3,27862.56,2,3,3,233,8
161,Daniel James,431,3,30783.61,2,3,3,233,8
411,Robert Porter,427,3,34254.95,2,3,3,233,8
592,Stephanie Mcclain,411,3,18282.9,3,3,2,332,8
619,Matthew Mills,396,3,25911.18,3,3,2,332,8
372,Brandy Cortez,391,3,25437.64,3,3,2,332,8
254,Cynthia Zavala,389,3,24760.41,3,3,2,332,8
384,Clayton Gray,383,2,31960.5,3,2,3,323,8
344,Steven Roman,375,2,29663.88,3,2,3,323,8
351,Steven Ball,361,3,23638.36,3,3,2,332,8
478,Jacqueline Martin,353,3,23577.12,3,3,2,332,8
635,Stephanie Taylor,326,2,33630.19,3,2,3,323,8
63,Darlene Ross,320,3,21959.31,3,3,2,332,8
796,Michael Moore,314,2,26807.93,3,2,3,323,8
536,Kenneth Flores,307,3,16771.32,3,3,2,332,8
614,Garrett Anderson,304,3,15534.91,3,3,2,332,8
49,Sarah Garciağ,296,3,19988.36,3,3,2,332,8
606,Jimmy Smith,284,2,28235.26,3,2,3,323,8
417,Jonathan Dixon,279,2,27759.97,3,2,3,323,8
211,Jerry Hansen,273,2,27675.21,3,2,3,323,8
33,Emily Joyce,268,3,19782.81,3,3,2,332,8
747,Sheila Johnson,268,3,24857.09,3,3,2,332,8
56,Laura Valencia,262,3,20678.39,3,3,2,332,8
39,Kristen Mitchell,253,2,32876.82,3,2,3,323,8
329,Troy Mays,251,3,25799.29,3,3,2,332,8
573,Unknown Customer,234,3,10309.14,4,3,1,431,8
743,Christine Moore,226,2,23600.52,4,2,2,422,8
339,Elizabeth Robinson,204,3,14518.48,4,3,1,431,8
204,Cynthia Johnson,200,2,19823.38,4,2,2,422,8
509,Felicia Thompson,195,2,17449.65,4,2,2,422,8
559,Charlotte Steele,186,2,16165.32,4,2,2,422,8
299,Brandon Williams,186,3,11085.11,4,3,1,431,8
778,Nicole Kim,184,2,24165.26,4,2,2,422,8
124,Michele Jones,175,2,21782.54,4,2,2,422,8
558,Todd Lynch,156,2,22064.27,4,2,2,422,8
239,Amanda Collins,146,2,21684.97,4,2,2,422,8
315,Todd Bernard,134,1,32791.92,4,1,3,413,8
775,Alex Mills,128,2,15672.65,4,2,2,422,8
115,Angela Terry,121,2,20523.82,4,2,2,422,8
159,Erica Moore,120,2,17442.3,4,2,2,422,8
422,Andrew Cooper,120,3,14688.89,4,3,1,431,8
445,Unknown Customer,112,2,21930.17,4,2,2,422,8
24,Stacey Miller,109,2,23005.2,4,2,2,422,8
337,Christina Robinson,102,2,20298.93,4,2,2,422,8
196,Christopher Miller,79,2,14802.91,5,2,1,521,8
122,Christopher Allen,77,2,14251.04,5,2,1,521,8
