customer_id,name,email,customer_type,region,city,joined_date,customer_name,registration_date
27,Emily Brooks,omartinez@example.com,NEW,Europe,Singapore,2026-06-07,Emily Brooks,2026-06-07
28,Caleb Smith,briannasmith@example.com,REGULAR,Africa,Los Angeles,2024-12-17,Caleb Smith,2024-12-17
29,Jean Brown,heathchad@example.com,REGULAR,South America,Chicago,2022-11-22,Jean Brown,2022-11-22
31,Barbara Sanchez,glee@example.com,PREMIUM,Africa,Berlin,2024-08-13,Barbara Sanchez,2024-08-13
32,Donna Gomez,dshields@example.com,REGULAR,North America,Houston,2024-05-09,Donna Gomez,2024-05-09
33,Emily Joyce,powellmatthew@example.com,REGULAR,South America,London,2023-01-09,Emily Joyce,2023-01-09
34,Michelle Wright,ltaylor@example.com,REGULAR,Africa,Sydney,2023-06-01,Michelle Wright,2023-06-01
35,Joshua Wright,ramosmichelle@example.com,REGULAR,Africa,Tokyo,2026-07-14,Joshua Wright,2026-07-14
36,Andrea Williams,novaksara@example.com,VIP,Middle East,Los Angeles,2024-11-26,Andrea Williams,2024-11-26
37,Melinda Martinδ,zlewis@example.com,VIP,South America,Cape Town,2024-09-02,Melinda Martinδ,2024-09-02
39,Kristen Mitchell,smoore@example.com,REGULAR,Europe,Berlin,2025-07-27,Kristen Mitchell,2025-07-27
40,Jeff Brown,adkinsbrian@example.com,PREMIUM,South America,London,2025-09-25,Jeff Brown,2025-09-25
41,Breanna Shaw,brianromero@example.com,PREMIUM,Europe,Houston,2026-03-26,Breanna Shaw,2026-03-26
42,Melissa Jones,richarddavid@example.com,NEW,Europe,Berlin,2022-11-23,Melissa Jones,2022-11-23
43,Ashley Riley,barnesbrandy@example.com,REGULAR,Europe,Sao Paulo,2022-10-10,Ashley Riley,2022-10-10
44,Alexandra Donovan,john62@example.com,VIP,South America,Tokyo,2023-06-23,Alexandra Donovan,2023-06-23
45,Emily Evans,smithchristine@example.com,REGULAR,Asia Pacific,Paris,2023-12-14,Emily Evans,2023-12-14
46,Anna Garcia,williamanderson@example.com,PREMIUM,Europe,Toronto,2024-11-22,Anna Garcia,2024-11-22
47,Michael Jones,justin78@example.com,VIP,Africa,Sao Paulo,2023-08-24,Michael Jones,2023-08-24
48,Jade Carr,contrerasangela@example.com,NEW,Africa,London,2026-01-14,Jade Carr,2026-01-14
49,Sarah Garciağ,josephpreston@example.com,PREMIUM,Asia Pacific,Toronto,2026-05-05,Sarah Garciağ,2026-05-05
50,Julia Moore,jenniferharris@example.com,PREMIUM,Africa,Toronto,2023-10-21,Julia Moore,2023-10-21
51,Cynthia Baker,rebecca01@example.com,PREMIUM,Unknown,Singapore,2024-09-06,Cynthia Baker,2024-09-06
52,Cynthia Calderon,cookdavid@example.com,PREMIUM,Africa,Singapore,2022-10-17,Cynthia Calderon,2022-10-17
53,Tina Martin,hhoffman@example.com,REGULAR,Asia Pacific,Dubai,2024-06-26,Tina Martin,2024-06-26
54,Charles Ware,amydavenport@example.com,NEW,Africa,Toronto,2026-06-14,Charles Ware,2026-06-14
55,Brandi Hernandez,parkerrachel@example.com,NEW,Middle East,London,2023-02-23,Brandi Hernandez,2023-02-23
56,Laura Valencia,jason31@example.com,VIP,Middle East,Berlin,2026-06-06,Laura Valencia,2026-06-06
57,Michael Castro,vdickson@example.com,VIP,Middle East,Phoenix,2026-04-29,Michael Castro,2026-04-29
58,Eric Spears,theresacochran@example.com,NEW,Europe,Cape Town,2026-04-14,Eric Spears,2026-04-14
59,Nicole Johnson,kimberly63@example.com,REGULAR,Middle East,New York,2025-09-27,Nicole Johnson,2025-09-27
60,Joseph Cobb,ebrennan@example.com,NEW,Middle East,Berlin,2023-01-24,Joseph Cobb,2023-01-24
61,Jeffrey Velasquez,kevin33@example.com,NEW,Africa,Dubai,2024-07-25,Jeffrey Velasquez,2024-07-25
62,Andrew Lee,michelle45@example.com,REGULAR,North America,Phoenix,2024-01-01,Andrew Lee,2024-01-01
63,Darlene Ross,sheila14@example.com,NEW,Europe,Sao Paulo,2026-03-12,Darlene Ross,2026-03-12
64,Gregory Estes,rodriguezryan@example.com,NEW,North America,Los Angeles,2023-09-26,Gregory Estes,2023-09-26
65,Jessica Edwards,cruzbarbara@example.com,REGULAR,North America,Paris,2025-03-08,Jessica Edwards,2025-03-08
66,Jonathan Fletcher,michaeljones@example.com,REGULAR,Middle East,Dubai,2022-08-12,Jonathan Fletcher,2022-08-12
67,Elizabeth Rivera,cortezkevin@example.com,REGULAR,South America,Houston,2023-12-10,Elizabeth Rivera,2023-12-10
68,Kyle Ortiz,angela36@example.com,NEW,Asia Pacific,Paris,2024-04-26,Kyle Ortiz,2024-04-26
69,Elizabeth Gray,christinaturner@example.com,VIP,Africa,Houston,2025-10-15,Elizabeth Gray,2025-10-15
70,Amy Smith,russellcarpenter@example.com,REGULAR,Middle East,New York,2023-10-29,Amy Smith,2023-10-29
71,Diana Marshall,williamleon@example.com,NEW,Africa,London,2024-06-26,Diana Marshall,2024-06-26
72,Susan Fitzgerald,campbellelizabeth@example.com,NEW,Asia Pacific,Tokyo,2025-05-29,Susan Fitzgerald,2025-05-29
73,Christine Davis,emilywalker@example.com,NEW,South America,Sao Paulo,2025-10-19,Christine Davis,2025-10-19
74,James Johnson,xcarr@example.com,VIP,Europe,Tokyo,2023-08-25,James Johnson,2023-08-25
75,Charles Perry,jennifercruz@example.com,NEW,Asia Pacific,Berlin,2025-04-14,Charles Perry,2025-04-14
76,Reginald Hernandez,staffordmichelle@example.com,REGULAR,Europe,Berlin,2025-07-13,Reginald Hernandez,2025-07-13
77,Nicole Osborne,lindadominguez@example.com,NEW,Africa,Mumbai,2023-07-15,Nicole Osborne,2023-07-15
78,Steven Grant,bryantlaurie@example.com,PREMIUM,Europe,London,2026-07-05,Steven Grant,2026-07-05
79,Elizabeth Travis,stephanie79@example.com,VIP,North America,Sydney,2025-02-20,Elizabeth Travis,2025-02-20
80,Lisa Mcclain,vmerritt@example.com,REGULAR,Middle East,Phoenix,2024-06-02,Lisa Mcclain,2024-06-02
81,Michelle Coleğ,maryramirez@example.com,NEW,Asia Pacific,London,2025-10-20,Michelle Coleğ,2025-10-20
82,Kimberly Washington,scott43@example.com,REGULAR,Asia Pacific,Los Angeles,2023-08-16,Kimberly Washington,2023-08-16
83,Joseph Flores,taylorjesse@example.com,PREMIUM,North America,Cape Town,2024-11-26,Joseph Flores,2024-11-26
84,Heather Mccarthy,irussell@example.com,NEW,Asia Pacific,Cape Town,2022-11-17,Heather Mccarthy,2022-11-17
85,Steven Brown,xprice@example.com,PREMIUM,Africa,Chicago,2026-02-23,Steven Brown,2026-02-23
86,Unknown Customer,wwoods@example.com,NEW,Unknown,Sydney,2026-04-01,Unknown Customer,2026-04-01
87,Kenneth Price,vmedina@example.com,PREMIUM,Asia Pacific,Berlin,2026-05-26,Kenneth Price,2026-05-26
88,Amy Morrison,brobinson@example.com,PREMIUM,Europe,Sydney,2023-07-18,Amy Morrison,2023-07-18
89,Todd Price,dramsey@example.com,VIP,Middle East,Dubai,2025-06-14,Todd Price,2025-06-14
90,Samantha Hooper,meadowsbrittany@example.com,VIP,North America,New York,2024-11-16,Samantha Hooper,2024-11-16
91,Elizabeth Miller,michellewhite@example.com,PREMIUM,Asia Pacific,Dubai,2024-06-05,Elizabeth Miller,2024-06-05
92,Jorge Murphy,matthew64@example.com,NEW,North America,Cape Town,2024-07-16,Jorge Murphy,2024-07-16
93,Karen Decker,ruizkaitlyn@example.com,NEW,Europe,Sao Paulo,2023-09-05,Karen Decker,2023-09-05
94,Brett Crane,harringtondenise@example.com,VIP,North America,Sao Paulo,2023-07-24,Brett Crane,2023-07-24
95,Karen Herring,howelljohn@example.com,REGULAR,South America,Singapore,2023-06-15,Karen Herring,2023-06-15
96,Thomas Wilson,xlyons@example.com,VIP,Asia Pacific,Singapore,2023-07-14,Thomas Wilson,2023-07-14
97,Miguel Obrien,stricklandfrank@example.com,PREMIUM,Europe,Cape Town,2025-10-14,Miguel Obrien,2025-10-14
98,Larry Lane,barbara66@example.com,REGULAR,Africa,Singapore,2026-07-22,Larry Lane,2026-07-22
99,Shelly Gonzalez,curtisbarton@example.com,NEW,Asia Pacific,Phoenix,2025-02-14,Shelly Gonzalez,2025-02-14
100,Melissa Burke,reedross@example.com,REGULAR,Europe,Cape Town,2023-02-14,Melissa Burke,2023-02-14
101,Mitchell Hunterğ,atkinsonlynn@example.com,NEW,South America,Singapore,2024-01-22,Mitchell Hunterğ,2024-01-22
102,Daniel Yu,bzimmerman@example.com,VIP,South America,Berlin,2025-04-23,Daniel Yu,2025-04-23
103,Gregory Boyd,christina87@example.com,NEW,Africa,Sao Paulo,2025-05-16,Gregory Boyd,2025-05-16
104,Steven Petersen,marcus31@example.com,NEW,North America,Toronto,2025-02-15,Steven Petersen,2025-02-15
105,Joshua Hayes,qhudson@example.com,NEW,North America,Cape Town,2025-10-18,Joshua Hayes,2025-10-18
106,Nicholas Johnson,hunter35@example.com,NEW,Africa,Toronto,2026-03-23,Nicholas Johnson,2026-03-23
107,Lauren Peterson,angela83@example.com,NEW,Unknown,Sydney,2026-05-08,Lauren Peterson,2026-05-08
108,Christopher Cortez,hannahbrewer@example.com,REGULAR,Asia Pacific,Sydney,2024-09-06,Christopher Cortez,2024-09-06
109,Travis Mcguire,jeffrey34@example.com,VIP,Asia Pacific,Cape Town,2023-01-01,Travis Mcguire,2023-01-01
110,Elizabeth Wood,ronald85@example.com,NEW,Middle East,Singapore,2024-12-16,Elizabeth Wood,2024-12-16
111,Michael Chavez,jerry35@example.com,VIP,Africa,Sydney,2023-11-29,Michael Chavez,2023-11-29
112,David Herrera,jamesrodgers@example.com,VIP,Africa,Tokyo,2025-11-06,David Herrera,2025-11-06
113,Joshua Lawrence,tina34@example.com,REGULAR,South America,Mumbai,2025-11-02,Joshua Lawrence,2025-11-02
114,Jeremy White,joshuamccann@example.com,NEW,Europe,Los Angeles,2022-08-31,Jeremy White,2022-08-31
115,Angela Terry,agarcia@example.com,PREMIUM,Middle East,Berlin,2023-02-22,Angela Terry,2023-02-22
116,Audrey Harrison,jack04@example.com,PREMIUM,Africa,Los Angeles,2024-06-24,Audrey Harrison,2024-06-24
117,Shelley Woods,moralescharles@example.com,REGULAR,Europe,Cape Town,2026-02-07,Shelley Woods,2026-02-07
118,Crystal Brown,christopher31@example.com,VIP,South America,Singapore,2023-03-29,Crystal Brown,2023-03-29
119,Angela Butler,kimberlyjames@example.com,NEW,North America,Berlin,2025-02-21,Angela Butler,2025-02-21
120,Rebekah Evans,ntorres@example.com,VIP,North America,New York,2025-02-09,Rebekah Evans,2025-02-09
121,Brian Choi,colleenbaker@example.com,VIP,Middle East,Mumbai,2023-01-11,Brian Choi,2023-01-11
122,Christopher Allen,moorericky@example.com,PREMIUM,Africa,Dubai,2024-12-14,Christopher Allen,2024-12-14
123,Hannah Harrison,keithcampbell@example.com,REGULAR,Europe,Houston,2022-09-29,Hannah Harrison,2022-09-29
124,Michele Jones,kristin93@example.com,NEW,Middle East,Phoenix,2023-08-07,Michele Jones,2023-08-07
125,Ronald Stephens,rebekahserrano@example.com,VIP,North America,Paris,2025-05-12,Ronald Stephens,2025-05-12
126,Charles Martin,scott74@example.com,VIP,Middle East,Mumbai,2023-11-30,Charles Martin,2023-11-30
127,Holly Bender,mkim@example.com,NEW,North America,New York,2024-09-25,Holly Bender,2024-09-25
128,Bill Reynolds,anthony39@example.com,PREMIUM,North America,Paris,2023-12-23,Bill Reynolds,2023-12-23
129,Brenda Smith,barbara27@example.com,REGULAR,Europe,Phoenix,2025-11-10,Brenda Smith,2025-11-10
130,April Ramos,wendygraham@example.com,REGULAR,South America,Berlin,2023-10-16,April Ramos,2023-10-16
131,Lisa Costa,ricky51@example.com,REGULAR,Africa,Dubai,2024-08-09,Lisa Costa,2024-08-09
132,Mia Rivera,zroberts@example.com,REGULAR,Africa,Sydney,2025-07-22,Mia Rivera,2025-07-22
133,Lisa Pierce,edwardsmarcus@example.com,REGULAR,Asia Pacific,Dubai,2024-07-16,Lisa Pierce,2024-07-16
134,Tara Powell,sandovalamy@example.com,VIP,Middle East,Toronto,2024-10-17,Tara Powell,2024-10-17
135,Robert Lopez,wgarrett@example.com,NEW,North America,Houston,2024-02-23,Robert Lopez,2024-02-23
136,Brett Adams,samuel71@example.com,PREMIUM,Asia Pacific,Berlin,2023-03-01,Brett Adams,2023-03-01
137,Anthony Mccoy,jennifercollins@example.com,VIP,Asia Pacific,Tokyo,2026-01-02,Anthony Mccoy,2026-01-02
138,Alexander Russell,murraydavid@example.com,REGULAR,North America,Mumbai,2023-07-25,Alexander Russell,2023-07-25
139,Marilyn Jimenez,william46@example.com,VIP,Africa,Mumbai,2025-08-27,Marilyn Jimenez,2025-08-27
141,James Greene,michellehill@example.com,REGULAR,Europe,Mumbai,2025-10-12,James Greene,2025-10-12
142,Kristy Perry,lori44@example.com,REGULAR,Middle East,Unknown,2026-07-31,Kristy Perry,2026-07-31
143,Mary Carpenter,cgrimes@example.com,PREMIUM,South America,Sao Paulo,2025-05-31,Mary Carpenter,2025-05-31
144,Amanda Reed,ugibson@example.com,PREMIUM,Asia Pacific,Toronto,2024-12-14,Amanda Reed,2024-12-14
145,Molly Pollard,xhall@example.com,REGULAR,North America,Los Angeles,2023-08-15,Molly Pollard,2023-08-15
146,Robert Flores,qhughes@example.com,NEW,Asia Pacific,Houston,2024-08-13,Robert Flores,2024-08-13
147,Laura Pearson,ihanna@example.com,VIP,North America,Los Angeles,2023-04-03,Laura Pearson,2023-04-03
148,Wayne Lawrence,sawyerscott@example.com,VIP,North America,London,2026-04-22,Wayne Lawrence,2026-04-22
149,Alicia Bryant,robertpena@example.com,VIP,North America,Los Angeles,2025-09-05,Alicia Bryant,2025-09-05
150,Eric Harrison,cindy61@example.com,NEW,Africa,Sydney,2023-09-25,Eric Harrison,2023-09-25
151,Melissa Phelps,ofinley@example.com,VIP,North America,Houston,2026-04-05,Melissa Phelps,2026-04-05
152,Jennifer Malone,williamsonjimmy@example.com,VIP,Africa,Toronto,2026-04-26,Jennifer Malone,2026-04-26
153,Gabrielle Mitchell,hamiltoncorey@example.com,PREMIUM,Europe,Phoenix,2023-07-29,Gabrielle Mitchell,2023-07-29
154,Cynthia Brennan,heatherberger@example.com,REGULAR,South America,Singapore,2024-06-29,Cynthia Brennan,2024-06-29
155,Brandon Flynn,nicholas23@example.com,VIP,Africa,Dubai,2023-11-08,Brandon Flynn,2023-11-08
156,Amanda Knight,georgemiller@example.com,REGULAR,Europe,Sydney,2025-12-23,Amanda Knight,2025-12-23
157,Monica Harvey,jdurham@example.com,REGULAR,Middle East,Sao Paulo,2023-08-19,Monica Harvey,2023-08-19
158,Jesse Little,elizabeth74@example.com,NEW,Middle East,Toronto,2024-07-23,Jesse Little,2024-07-23
159,Erica Moore,vanessa46@example.com,VIP,Africa,London,2024-06-26,Erica Moore,2024-06-26
160,Hannah Bryant,yvonnecastaneda@example.com,VIP,Europe,Sao Paulo,2023-11-22,Hannah Bryant,2023-11-22
161,Daniel James,victoria40@example.com,VIP,North America,Sao Paulo,2024-02-18,Daniel James,2024-02-18
162,Tiffany Barrett,knightgina@example.com,PREMIUM,Europe,Phoenix,2023-10-10,Tiffany Barrett,2023-10-10
163,Julie Williams,swall@example.com,PREMIUM,Middle East,Chicago,2025-03-09,Julie Williams,2025-03-09
165,John Campos,courtneyberger@example.com,PREMIUM,South America,Phoenix,2025-11-14,John Campos,2025-11-14
166,Debbie Parker,rileyjessica@example.com,REGULAR,Africa,Phoenix,2024-06-24,Debbie Parker,2024-06-24
167,Christopher Phillips,ithompson@example.com,PREMIUM,Africa,Cape Town,2025-10-14,Christopher Phillips,2025-10-14
168,Kristin Walter,maria47@example.com,NEW,South America,Sydney,2024-02-29,Kristin Walter,2024-02-29
169,Tammy Phillips,linda71@example.com,NEW,Asia Pacific,Sao Paulo,2026-04-23,Tammy Phillips,2026-04-23
170,Donald Levy,zcoffey@example.com,PREMIUM,Europe,Singapore,2026-04-07,Donald Levy,2026-04-07
171,Angela Davis,bakerdavid@example.com,REGULAR,Europe,London,2024-04-13,Angela Davis,2024-04-13
172,Miguel Curry,xcarson@example.com,PREMIUM,Asia Pacific,New York,2023-09-21,Miguel Curry,2023-09-21
173,Daniel Hall,rose31@example.com,REGULAR,Europe,Toronto,2022-09-17,Daniel Hall,2022-09-17
174,Cynthia Marshall,debra12@example.com,PREMIUM,North America,Singapore,2025-08-03,Cynthia Marshall,2025-08-03
175,Brandon Johnson,davispaige@example.com,REGULAR,Unknown,Phoenix,2024-09-13,Brandon Johnson,2024-09-13
176,Derek Chavez,umatthews@example.com,VIP,South America,Los Angeles,2025-06-16,Derek Chavez,2025-06-16
177,Eric Perry,rgilbert@example.com,NEW,Middle East,Berlin,2023-01-10,Eric Perry,2023-01-10
178,Antonio Wood,xsampson@example.com,PREMIUM,Africa,Mumbai,2024-06-28,Antonio Wood,2024-06-28
179,Cory Jennings,bruce43@example.com,REGULAR,Asia Pacific,Los Angeles,2024-12-02,Cory Jennings,2024-12-02
180,Tammy Rush™,ndavis@example.com,VIP,South America,Houston,2026-02-10,Tammy Rush™,2026-02-10
182,David Cunningham,brendali@example.com,NEW,North America,Los Angeles,2022-11-24,David Cunningham,2022-11-24
183,Jesse Schroeder,ramireztracey@example.com,NEW,Middle East,Los Angeles,2025-12-17,Jesse Schroeder,2025-12-17
184,Vanessa Fernandez,danieldelacruz@example.com,VIP,Europe,Mumbai,2026-01-01,Vanessa Fernandez,2026-01-01
186,Joseph Martinez,reesethomas@example.com,NEW,North America,London,2024-05-24,Joseph Martinez,2024-05-24
187,Kimberly Palmer,ngordon@example.com,NEW,South America,Mumbai,2023-01-26,Kimberly Palmer,2023-01-26
188,Bradley Logan,stephen00@example.com,NEW,Europe,Los Angeles,2026-04-17,Bradley Logan,2026-04-17
189,Yolanda Boone,henryrenee@example.com,PREMIUM,North America,Unknown,2024-06-02,Yolanda Boone,2024-06-02
190,Charles Miller,cameronhill@example.com,REGULAR,Middle East,Dubai,2025-03-11,Charles Miller,2025-03-11
191,Cynthia Kelley,hvang@example.com,VIP,Asia Pacific,Tokyo,2023-12-28,Cynthia Kelley,2023-12-28
192,Kenneth Wagner,mcguiredanny@example.com,NEW,Middle East,Tokyo,2024-06-08,Kenneth Wagner,2024-06-08
193,Diana Rich,russellbeasley@example.com,NEW,South America,Chicago,2024-12-13,Diana Rich,2024-12-13
194,Robert Wilcox,ublair@example.com,VIP,Africa,Chicago,2024-04-20,Robert Wilcox,2024-04-20
195,Ronald Ortega,gloriawells@example.com,PREMIUM,Europe,Houston,2024-03-13,Ronald Ortega,2024-03-13
196,Christopher Miller,garnernathan@example.com,VIP,Middle East,Dubai,2024-06-10,Christopher Miller,2024-06-10
197,David Brown,elizabeth65@example.com,VIP,Asia Pacific,Singapore,2024-12-29,David Brown,2024-12-29
198,Morgan Pugh,schmittcaroline@example.com,VIP,Africa,Dubai,2024-05-28,Morgan Pugh,2024-05-28
199,Michael Lane,dianewalker@example.com,PREMIUM,South America,Los Angeles,2023-07-06,Michael Lane,2023-07-06
200,Daniel Bruce,farmeraudrey@example.com,PREMIUM,Europe,Sydney,2024-03-02,Daniel Bruce,2024-03-02
201,Lindsay Bruce,lynchdiane@example.com,PREMIUM,Africa,Chicago,2025-11-14,Lindsay Bruce,2025-11-14
202,Heather Johnson,sandra50@example.com,VIP,Middle East,Chicago,2023-10-08,Heather Johnson,2023-10-08
203,Howard Thomas,vjones@example.com,NEW,Middle East,Singapore,2025-05-27,Howard Thomas,2025-05-27
204,Cynthia Johnson,nicholaschavez@example.com,PREMIUM,Africa,Dubai,2025-10-12,Cynthia Johnson,2025-10-12
205,Eric Collins,wareeric@example.com,PREMIUM,Europe,Toronto,2023-12-26,Eric Collins,2023-12-26
206,Karen Williams,scott67@example.com,NEW,South America,Houston,2022-12-14,Karen Williams,2022-12-14
208,Erika Watkins,brandon69@example.com,VIP,Middle East,Paris,2024-11-05,Erika Watkins,2024-11-05
209,Brian Harris,kathrynroberts@example.com,VIP,Asia Pacific,Dubai,2023-07-04,Brian Harris,2023-07-04
210,David Jimenez,davidpatel@example.com,NEW,Middle East,Singapore,2024-08-06,David Jimenez,2024-08-06
211,Jerry Hansen,charles06@example.com,VIP,Asia Pacific,Sao Paulo,2025-06-12,Jerry Hansen,2025-06-12
212,Andrew Morse,barbara96@example.com,NEW,Middle East,Tokyo,2026-04-10,Andrew Morse,2026-04-10
213,Jenna Butler,usmith@example.com,REGULAR,Asia Pacific,Toronto,2023-02-04,Jenna Butler,2023-02-04
214,George Meza,christopher13@example.com,NEW,Unknown,Toronto,2024-07-24,George Meza,2024-07-24
215,Ryan Morales,vharrell@example.com,PREMIUM,Europe,Toronto,2022-12-10,Ryan Morales,2022-12-10
216,Matthew Cook,dixondaniel@example.com,VIP,Middle East,Singapore,2023-04-28,Matthew Cook,2023-04-28
217,William Bullock,jessica23@example.com,REGULAR,Asia Pacific,New York,2024-02-03,William Bullock,2024-02-03
218,Curtis Scott,kathleenrios@example.com,PREMIUM,Africa,Singapore,2023-05-06,Curtis Scott,2023-05-06
219,Gregory Mejia,wwebster@example.com,PREMIUM,Africa,Houston,2024-09-15,Gregory Mejia,2024-09-15
220,Bethany Maldonado,michelle52@example.com,PREMIUM,Asia Pacific,Singapore,2026-05-11,Bethany Maldonado,2026-05-11
221,Unknown Customer,laura90@example.com,VIP,Africa,Sao Paulo,2025-04-16,Unknown Customer,2025-04-16
222,Michael Jones,xjohnson@example.com,VIP,Africa,Tokyo,2024-07-27,Michael Jones,2024-07-27
223,Marie Jones,gilbertwilliam@example.com,PREMIUM,Europe,Paris,2026-04-13,Marie Jones,2026-04-13
224,Steven Spencer,colelisa@example.com,VIP,Europe,Sao Paulo,2025-12-22,Steven Spencer,2025-12-22
225,Denise Morris,susanhayes@example.com,PREMIUM,Europe,Chicago,2024-08-17,Denise Morris,2024-08-17
226,Lisa Monroe,wagnergerald@example.com,PREMIUM,Middle East,Tokyo,2025-08-23,Lisa Monroe,2025-08-23
227,John Kim,michaelhardin@example.com,PREMIUM,Africa,Houston,2024-06-22,John Kim,2024-06-22
228,Paul Schroeder,mccormickdeborah@example.com,REGULAR,Middle East,London,2025-06-29,Paul Schroeder,2025-06-29
229,Cameron Davis,umitchell@example.com,PREMIUM,Europe,Los Angeles,2025-06-28,Cameron Davis,2025-06-28
230,Melissa Brandt,mathewaguilar@example.com,REGULAR,South America,London,2025-03-03,Melissa Brandt,2025-03-03
231,Donald Bailey,tanderson@example.com,PREMIUM,Africa,Sydney,2025-05-25,Donald Bailey,2025-05-25
232,Sharon Collins,lisa81@example.com,VIP,Asia Pacific,Singapore,2024-03-17,Sharon Collins,2024-03-17
233,Debbie Henderson,coxhenry@example.com,REGULAR,Europe,Dubai,2024-02-23,Debbie Henderson,2024-02-23
234,Jason Meza,jeremytaylor@example.com,PREMIUM,South America,Sao Paulo,2024-09-03,Jason Meza,2024-09-03
235,Chris Richard,stanleynancy@example.com,PREMIUM,Asia Pacific,Berlin,2023-01-14,Chris Richard,2023-01-14
236,Christine Harper,henryschwartz@example.com,REGULAR,Europe,Berlin,2023-04-06,Christine Harper,2023-04-06
237,Colleen Orr,xwilliams@example.com,VIP,Africa,Sydney,2025-09-03,Colleen Orr,2025-09-03
238,Erica Young,karen73@example.com,NEW,Africa,Mumbai,2024-06-30,Erica Young,2024-06-30
239,Amanda Collins,mmckee@example.com,PREMIUM,South America,Chicago,2026-01-17,Amanda Collins,2026-01-17
240,Micheal Valentine,xhammond@example.com,REGULAR,North America,Paris,2024-06-24,Micheal Valentine,2024-06-24
241,Patrick Rose,laurietaylor@example.com,REGULAR,Africa,Singapore,2023-04-18,Patrick Rose,2023-04-18
242,John Davidson,angela18@example.com,NEW,Asia Pacific,Dubai,2026-04-28,John Davidson,2026-04-28
243,Ω,joshuawhitehead@example.com,REGULAR,North America,Chicago,2025-11-07,Ω,2025-11-07
244,Dylan Kim,lisawilkerson@example.com,NEW,North America,London,2026-06-24,Dylan Kim,2026-06-24
245,Sarah Perry,joe15@example.com,NEW,Europe,Sao Paulo,2024-04-16,Sarah Perry,2024-04-16
246,Jeffrey Flores,lacey20@example.com,PREMIUM,Africa,Houston,2023-01-10,Jeffrey Flores,2023-01-10
247,Justin Gallegos,katherineharrison@example.com,PREMIUM,North America,Sydney,2025-07-26,Justin Gallegos,2025-07-26
248,Christina Bullock,jason28@example.com,PREMIUM,South America,Phoenix,2022-09-08,Christina Bullock,2022-09-08
249,Shelby Lynch,parsonsjohn@example.com,NEW,Middle East,New York,2024-05-28,Shelby Lynch,2024-05-28
250,David Allen,fbrown@example.com,REGULAR,South America,Sao Paulo,2025-04-28,David Allen,2025-04-28
